;Author;Title;Exist
920;R. Ramanujam;An Automaton Model of User-Controlled Navigation on the Web.;left_only
921;Christian Rauch;The Range of State Complexities of Languages Resulting from the Cascade Product - The Unary Case (Extended Abstract).;both
922;Victor M. Darriba;Robust Parsing Using Dynamic Programming.;both
923;Victor M. Darriba;Searching for Asymptotic Error Repair.;both
924;Victor M. Darriba;Regional Least-Cost Error Repair.;both
925;Marcel Vollweiler;Transductions Computed by PC-Systems of Monotone Deterministic Restarting Automata.;both
926;Chrystopher L. Nehaniv;On Straight Words and Minimal Permutators in Finite Transformation Semigroups.;both
927;Chrystopher L. Nehaniv;Algebraic Hierarchical Decomposition of Finite State Automata: Comparison of Implementations for Krohn-Rhodes Theory.;both
928;Nico Wallmeier;Observations on Determinization of Büchi Automata.;both
929;Nico Wallmeier;Symbolic Synthesis of Finite-State Controllers for Request-Response Specifications.;both
930;Fritz Henglein;Two-Pass Greedy Regular Expression Parsing.;both
931;Jacques Sakarovitch;The Validity of Weighted Automata.;both
932;Jacques Sakarovitch;Two Routes to Automata Minimization and the Ways to Reach It Efficiently.;both
933;Jacques Sakarovitch;A Type System for Weighted Automata and Rational Expressions.;both
934;Jacques Sakarovitch;Implementation Concepts in Vaucanson 2.;both
935;Jacques Sakarovitch;The Removal of Weighted ε-Transitions.;both
936;Jacques Sakarovitch;The Language, the Expression, and the (Small) Automaton.;both
937;Jacques Sakarovitch;Inside Vaucanson.;both
938;Jacques Sakarovitch;Introducing VAUCANSON.;both
939;Emine Seid-Hilmi;Factor Oracles.;both
940;Giorgio Satta;Z-Automata for Compact and Direct Representation of Unranked Tree Languages.;both
941;Jae-Hee Ahn;Implementation of State Elimination Using Heuristics.;both
942;Frank Stephan;On the Values for Factor Complexity.;both
943;Daniel J. Rosenkrantz;Complexity of Inferring Local Transition Functions of Discrete Dynamical Systems.;both
944;Christoph Schulte Althoff;Observations on Determinization of Büchi Automata.;both
945;Annie Foret;Categorial Grammars with Iterated Types form a Strict Hierarchy of k-Valued Languages.;both
946;Robert Kelly;Computational Linguistic Motivations for a Finite-State Machine Hierarchy.;both
947;Denis Maurel;Compiling Linguistic Constraints into Finite State Automata.;both
948;Denis Maurel;Incremental and Semi-incremental Construction of Pseudo-Minimal Automata.;both
949;Denis Maurel;Finite-State Transducer Cascade to Extract Proper Names in Texts.;both
950;Denis Maurel;Direct Construction of Minimal Acyclic Subsequential Transducers.;both
951;Denis Maurel;The Syntactic Prediction with Token Automata: Application to HandiAS System.;left_only
952;Denis Maurel;Pseudo-minimal Transducers: A Transducer with Proper Elements.;left_only
953;Denis Maurel;Time Series Forecasting by Finite-State Automata.;left_only
954;Denis Maurel;Building Automata on Schemata and Acceptability Tables: Application to French Data Adverbials.;left_only
955;Joshua Amavi;Weak Inclusion for Recursive XML Types.;both
956;Joshua Amavi;Weak Inclusion for XML Types.;both
957;Esko Ukkonen;Size Reduction of Multitape Automata.;both
958;Esko Ukkonen;Size Reduction of Multitape Automata.;both
959;Esko Ukkonen;Size Reduction of Multitape Automata.;both
960;Esko Ukkonen;Size Reduction of Multitape Automata.;both
961;Esko Ukkonen;Bideterministic Automata and Minimal Representations of Regular Languages.;both
962;Kamran Sedig;Crystal Lattice Automata.;both
963;Ruhsan Onder;XSLT Version 2.0 Is Turing-Complete: A Purely Transformation Based Proof.;both
964;Harald Hempel;Persistent Computations of Turing Machines.;both
965;Yann Régis-Gianas;Introducing VAUCANSON.;both
966;Teodora Nasz;Ambiguity Hierarchies for Weighted Tree Automata.;both
967;Marcella Anselmo;Tiling Automaton: A Computational Model for Recognizable Two-Dimensional Languages.;both
968;Marcella Anselmo;Simulating Two-Dimensional Recognizability by Pushdown and Queue Automata .;both
969;Marcella Anselmo;Finite Automata and Non-self-Embedding Grammars.;both
970;George Rahonis;Weighted Variable Automata over Infinite Alphabets.;both
971;George Rahonis;Weighted Automata and Weighted Logics with Discounting.;both
972;Indhumathi Raman;Computational Completeness of Path-Structured Graph-Controlled Insertion-Deletion Systems.;both
973;Xavier Augros;Automata to Recognize Finite and Infinite Words with at Least Two Factorizations on a Given Finite Set.;left_only
974;Corinna Cortes;Large-Scale Training of SVMs with Automata Kernels.;both
975;Corinna Cortes;On the Computation of Some Standard Distances Between Probabilistic Automata.;both
976;Rodrigo Castaño;Variable and Clause Ordering in an FSA Approach to Propositional Satisfiability.;both
977;Djelloul Ziadi;The Bottom-Up Position Tree Automaton and Its Compact Version.;both
978;Djelloul Ziadi;Computing the Follow Automaton of an Expression.;both
979;Djelloul Ziadi;From Regular Weighted Expressions to Finite Automata.;both
980;Djelloul Ziadi;New Finite Automaton Constructions Based on Canonical Derivatives.;both
981;Djelloul Ziadi;Determinization of Glushkov Automata.;left_only
982;Djelloul Ziadi;Sorting and Doubling Techniques for Set Partitioning and Automata Minimization Problems.;left_only
983;Djelloul Ziadi;A New Quadratic Algorithm to Convert a Regular Expression into an Automaton.;left_only
984;Zoltán Ésik;Ternary Equational Languages.;both
985;Zoltán Ésik;Simulations of Weighted Tree Automata.;both
986;Zoltán Ésik;Games for Temporal Logics on Trees.;both
987;Andrew Winslow;The Complexity of Fixed-Height Patterned Tile Self-assembly.;both
988;Stefano Scafiti;Efficient String Matching Based on a Two-Step Simulation of the Suffix Automaton.;both
989;Binxing Fang;SDFA: Series DFA for Memory-Efficient Regular Expression Matching.;both
990;Lamana Mulaffer;A Logical Characterization of Small 2NFAs.;both
991;Lasse Nielsen;Two-Pass Greedy Regular Expression Parsing.;both
992;Joachim Klein;On-the-Fly Stuttering in the Construction of Deterministic ;left_only
993;Joachim Klein;Experiments with Deterministic omega-Automata for Formulas of Linear Temporal Logic.;both
994;Masaki Nakanishi;Classical and Quantum Counter Automata on Promise Problems.;both
995;Anne Brüggemann-Klein;On Predictive Parsing and Extended Context-Free Grammars.;both
996;Anne Brüggemann-Klein;Regularly Extended Two-Way Nondeterministic Tree Automata.;both
997;Tsung-Shan Tsou;An Optimal Algorithm for Maximum-Sum Segment and Its Application in Bioinformatics Extended Abstract.;both
998;Sylvain Schmitz;Random Generation of Deterministic Tree (Walking) Automata.;both
999;Sylvain Schmitz;Shift-Resolve Parsing: Simple, Unbounded Lookahead, Linear Time.;both
1000;Carlo Mereghetti;On the Power of One-Way Automata with Quantum and Classical States.;both
1001;Carlo Mereghetti;Input-Driven Queue Automata: Finite Turns, Decidability, and Closure Properties.;both
1002;Tomás Masopust;On the State and Computational Complexity of the Reverse of Acyclic Minimal DFAs.;both
1003;Jorma Tarhio;On String Matching in Chunked Texts.;both
1004;Ikuo Kawaharada;Deterministic Recognition of Trees Accepted by a Linear Pushdown Tree Automaton.;both
1005;Jorge Graña;Regional Finite-State Error Repair.;left_only
