;Author;Title
23387;Gian Luigi Ferrari;Towards Nominal Context-Free Model-Checking.
23390;Gian Luigi Ferrari;Nominal Automata for Resource Usage Control.
23473;Matús Palmovský;Kleene Closure on Regular and Prefix-Free Languages.
23498;Guy Perrier;Lexical Disambiguation with Polarities and Automata.
23513;Shuhei Denzumi;New Algorithms for Manipulating Sequence BDDs.
23521;Maurice Herwig;A Similarity Measure for Formal Languages Based on Convergent Geometric Series.
23528;Anne Condon;On Design and Analysis of Chemical Reaction Network Algorithms.
23607;Florent Jacquemard;Symbolic Weighted Language Models, Quantitative Parsing and Automated Music Transcription.
23662;Manfred Kufleitner;Regular Ideal Languages and Their Boolean Combinations.
23667;Manfred Kufleitner;Partially Ordered Two-Way Büchi Automata.
23711;Pierpaolo Degano;Towards Nominal Context-Free Model-Checking.
23714;Pierpaolo Degano;Nominal Automata for Resource Usage Control.
23805;Hyunjoon Cheon;How to Settle the ReDoS Problem: Back to the Classical Automata Theory.
23820;Derick Wood;Shorter Regular Expressions from Finite-State Automata.
23823;Derick Wood;The Generalization of Generalized Automata: Expression Automata.
23826;Derick Wood;On Predictive Parsing and Extended Context-Free Grammars.
23829;Derick Wood;Regularly Extended Two-Way Nondeterministic Tree Automata.
23891;Giorgio Satta;Z-Automata for Compact and Direct Representation of Unranked Tree Languages.
23957;Björn Borchardt;Code Selection by Tree Series Transducers.
23975;José Bacelar Almeida;Partial Derivative Automata Formalized in Coq.
24036;Jiri Dvorský;Word Random Access Compression.
24048;Eva Maia;Partial Derivative and Position Bisimilarity Automata.
24050;Eva Maia;Incomplete Transition Complexity of Basic Operations on Finite Languages.
24058;Mikhail V. Volkov;P(l)aying for Synchronization.
24062;Mikhail V. Volkov;Synchronizing Automata Preserving a Chain of Partial Orders.
24125;Derrick G. Kourie;Preliminary Experiments in Hardcoding Finite Automata.
24138;Alexander Szabari;State Complexity of Concatenation and Complementation of Regular Languages.
24139;Georg Lojka;Implementation of Catalytic P Systems.
24147;Hugo Gimbert;Stamina: Stabilisation Monoids in Automata Theory.
24193;Marcella Anselmo;Tiling Automaton: A Computational Model for Recognizable Two-Dimensional Languages.
24194;Marcella Anselmo;Simulating Two-Dimensional Recognizability by Pushdown and Queue Automata .
24197;Marcella Anselmo;Finite Automata and Non-self-Embedding Grammars.
24207;Pierre Wolper;Computing Convex Hulls by Automata Iteration.
24257;Luca Breveglieri;A Benchmark Production Tool for Regular Expressions.
24259;Luca Breveglieri;From Ambiguous Regular Expressions to Deterministic Parsing Automata.
24260;Luca Breveglieri;BSP: A Parsing Tool for Ambiguous Regular Expressions.
24333;Anssi Yli-Jyrä;A New Method for Compiling Parallel Replacement Rules.
24336;Anssi Yli-Jyrä;Approximating Dependency Grammars Through Intersection of Regular Languages.
24353;Bakhadyr Khoussainov;Decision Problems for Finite Automata over Infinite Algebraic Structures.
24426;Guowu Yang;Universality of Hybrid Quantum Gates and Synthesis Without Ancilla Qudits.
24438;Tsai-Hung Fan;An Optimal Algorithm for Maximum-Sum Segment and Its Application in Bioinformatics Extended Abstract.
24472;Maxime Crochemore;Building Phylogeny with Minimal Absent Words.
24501;Maxime Crochemore;On the Suffix Automaton with Mismatches.
24502;Maxime Crochemore;Factor Oracles.
24515;Maxime Crochemore;On the Implementation of Compact DAWG\'s.
24734;Axel Legay;A Completion Algorithm for Lattice Tree Automata.
24780;Axel Legay;Distributed Event Clock Automata - Extended Abstract.
24810;Axel Legay;Computing Convex Hulls by Automata Iteration.
24825;Abolfazl Fatholahzadeh;Implementation of Dictionaries via Automata and Decision Trees.
24836;Carlo Mereghetti;On the Power of One-Way Automata with Quantum and Classical States.
24841;Carlo Mereghetti;Input-Driven Queue Automata: Finite Turns, Decidability, and Closure Properties.
24871;Gaoyan Xie;Testability of Oracle Automata.
24874;Gaoyan Xie;New Complexity Results for Some Linear Counting Problems Using Minimal Solutions to Linear Diophantine Equations.
24907;Hsu-Chun Yen;Concurrency, Synchronization, and Conflicts in Petri Nets.
24920;Hsu-Chun Yen;On Deterministic Catalytic Systems.
24926;Hsu-Chun Yen;Timing Parameter Characterization of Real-Time Systems.
24948;Jinfeng Zan;Deterministic Caterpillar Expressions.
24962;Victor Mitrana;Bounded Prefix-Suffix Duplication.
25027;Marius Dumitran;Bounded Prefix-Suffix Duplication.
25029;Hiroyuki Seki;An Ambiguity Hierarchy of Weighted Context-Free Grammars.
25125;Anna Ingólfsdóttir;On the Complexity of Determinizing Monitors.
25194;Vladimir V. Gusev;On the Number of Synchronizing Colorings of Digraphs.
25196;Vladimir V. Gusev;Reset Thresholds of Automata with Two Cycle Lengths.
25198;Vladimir V. Gusev;Synchronizing Automata of Bounded Rank.
25205;Vincent Carnino;Random Generation of Deterministic Acyclic Automata Using Markov Chains.
25213;Jacques Chabin;Weak Inclusion for Recursive XML Types.
25214;Jacques Chabin;Weak Inclusion for XML Types.
25221;Stanislav Stekr;On Parallel Implementations of Deterministic Finite Automata.
25223;Laetitia Laversa;Guessing the Buffer Bound for k-Synchronizability.
25227;Abiel Roche-Lima;Pairwise Rational Kernels Obtained by Automaton Operations.
25242;Nicolas Gama;Compact Normal Form for Regular Languages as Xor Automata.
25258;Pierre-Cyrille Héam;On the Uniform Random Generation of Non Deterministic Automata Up to Isomorphism.
25259;Pierre-Cyrille Héam;Random Generation and Enumeration of Accessible Deterministic Real-Time Pushdown Automata.
25263;Pierre-Cyrille Héam;Enhancing Approximations for Regular Reachability Analysis.
25265;Pierre-Cyrille Héam;On Positive TAGED with a Bounded Number of Constraints.
25269;Pierre-Cyrille Héam;Loops and Overloops for Tree Walking Automata.
25273;Pierre-Cyrille Héam;Random Generation of Deterministic Tree (Walking) Automata.
25274;Pierre-Cyrille Héam;TAGED Approximations for Temporal Properties Model-Checking.
25280;Pierre-Cyrille Héam;Automata for Pro-V Topologies.
25286;Thomas Claveirole;Inside Vaucanson.
25289;Emanuele Giaquinta;Run-Length Encoded Nondeterministic KMP and Suffix Automata.
25312;Andrei Paun;Hopcroft\'s Minimization Technique: Queues or Stacks?.
25322;Andrei Paun;An Incremental Algorithm for Constructing Minimal Deterministic Finite Cover Automata.
25328;Andrei Paun;Tight Bounds for NFA to DFCA Transformations for Binary Alphabets.
25331;Andrei Paun;The Number of Similarity Relations and the Number of Minimal Deterministic Finite Cover Automata.
25337;Andrei Paun;None
25372;Joseph Le Roux;Lexical Disambiguation with Polarities and Automata.
25387;Sabine Broda;Deciding Synchronous Kleene Algebra with Derivatives.
25401;Wit Forys;Symbolic Dynamics, Flower Automata and Infinite Traces.
25405;Christian Rauch;On 25 Years of CIAA Through the Lens of Data Science.
25410;Christian Rauch;The Range of State Complexities of Languages Resulting from the Cascade Product - The Unary Case (Extended Abstract).
25420;Wojciech Debski;Concatenation State Machines and Simple Functions.
25428;Ramaswamy Ramanujam;Dolev-Yao Theory with Associative Blindpair Operators.
25458;Ramaswamy Ramanujam;An Automaton Model of User-Controlled Navigation on the Web.
25476;Kevin Stier;Ambiguity Hierarchies for Weighted Tree Automata.
25486;Annie Foret;Categorial Grammars with Iterated Types form a Strict Hierarchy of k-Valued Languages.
25503;Chiara Epifanio;On Lazy Representations and Sturmian Graphs.
25504;Chiara Epifanio;On the Suffix Automaton with Mismatches.
25513;Bruno Courcelle;Fly-Automata, Their Properties and Applications.
25629;Gertjan van Noord;Finite Automata for Compact Representation of Language Models in NLP.
25644;Sílvia Cavadas;Deciding Synchronous Kleene Algebra with Derivatives.
25658;Denis Kuperberg;Stamina: Stabilisation Monoids in Automata Theory.
25676;José João Morais;Acyclic Automata with Easy-to-Find Short Regular Expressions.
25683;Nicolae Santean;None
25686;Cédric Bastien;Reducing Simple Grammars: Exponential Against Highly-Polynomial Time in Practice.
25687;Cédric Bastien;Prime Normal Form and Equivalence of Simple Grammars.
25706;Jan Holub;On Parallel Implementations of Deterministic Finite Automata.
25708;Jan Holub;Finding Common Motifs with Gaps Using Finite Automata.
25709;Jan Holub;On the Implementation of Compact DAWG\'s.
25710;Jan Holub;Dynamic Programming - NFA Simulation.
25711;Jan Holub;Bit Parallelism - NFA Simulation.
25722;Gilad Baruch;New Approaches for Context Sensitive Flash Codes.
25739;Taro Suzuki;Disambiguation in Regular Expression Matching via Position Automata with Augmented Transitions.
25740;Taro Suzuki;Hedge Pattern Partial Derivative.
25751;Ruhsan Onder;XSLT Version 2.0 Is Turing-Complete: A Purely Transformation Based Proof.
25753;Tullio Ceccherini-Silberstein;Cellular Automata on Regular Rooted Trees.
25831;Claus Brabrand;Analyzing Ambiguity of Context-Free Grammars.
25836;Tadahiro Suda;Non-backtracking Top-Down Algorithm for Checking Tree Automata Containment.
25841;Simone Faro;Efficient String Matching Based on a Two-Step Simulation of the Suffix Automaton.
25870;Simone Faro;A Fast Suffix Automata Based Algorithm for Exact Online String Matching.
25915;Marinella Sciortino;Nondeterministic Moore Automata and Brzozowski\'s Algorithm.
25916;Marinella Sciortino;A Challenging Family of Automata for Classical Minimization Algorithms.
25918;Marinella Sciortino;On Extremal Cases of Hopcroft\'s Algorithm.
25949;Isabelle Simplot-Ryl;Component Composition Preserving Behavioural Contracts Based on Communication Traces.
25953;Frank Katritzke;Enhancements of Partitioning Techniques for Image Compression Using Weighted Finite Automata.
25959;Jan Lahoda;Pattern Matching in DCA Coded Text.
25965;Katja Meckel;Nondeterministic State Complexity of Star-Free Languages.
25969;Niels Bjørn Bugge Grathwohl;Two-Pass Greedy Regular Expression Parsing.
25976;Vincent Hugot;On Positive TAGED with a Bounded Number of Constraints.
25977;Vincent Hugot;Loops and Overloops for Tree Walking Automata.
26027;Jan Strejcek;Deeper Connections Between LTL and Alternating Automata.
26034;Mitja Mastnak;Partitioning a Symmetric Rational Relation into Two Asymmetric Rational Relations.
26036;Marzio De Biasi;Unary Languages Recognized by Two-Way One-Counter Automata.
26073;Sylvain Schmitz;Random Generation of Deterministic Tree (Walking) Automata.
26078;Sylvain Schmitz;Shift-Resolve Parsing: Simple, Unbounded Lookahead, Linear Time.
26079;Emil Lerner;On Synchronizing Automata and Uniform Distribution.
26085;A. S. M. Shohidull Islam;On Palindromic Sequence Automata and Applications.
26096;Robert Giegerich;Analyzing Ambiguity of Context-Free Grammars.
26128;Birzhan Moldagaliyev;On the Values for Factor Complexity.
26131;Janusz A. Brzozowski;State Complexity of Overlap Assembly.
26134;Janusz A. Brzozowski;Complexity of Proper Prefix-Convex Regular Languages.
26144;Janusz A. Brzozowski;Large Aperiodic Semigroups.
26148;Janusz A. Brzozowski;Universal Witnesses for State Complexity of Basic Operations Combined with Reversal.
26151;Janusz A. Brzozowski;In Search of Most Complex Regular Languages.
26170;Janusz A. Brzozowski;Simulation of Gate Circuits in the Algebra of Transients.
26171;Janusz A. Brzozowski;Feedback-Free Circuits in the Algebra of Transients.
26202;Hannu Peltola;On String Matching in Chunked Texts.
26267;Moshe Y. Vardi;Solving Parity Games: Explicit vs Symbolic.
26289;Moshe Y. Vardi;Solving Parity Games Using an Automata-Based Algorithm.
26353;Moshe Y. Vardi;State of Büchi Complementation.
26391;Moshe Y. Vardi;Linear-Time Model Checking: Automata Theory in Practice.
26614;Joni Burnette Pirnot;Finite State Automata Representing Two-Dimensional Subshifts.
27024;Alois C. Knoll;On the Hardness of Priority Synthesis.
27146;Javier Miguel Sastre-Martínez;Efficient Parsing Using Filtered-Popping Recursive Transition Networks.
27154;François Barthélemy;A Testing Framework for Finite-State Morphology.
27158;François Barthélemy;Multi-grain Relations.
27223;Radek Pelánek;Deeper Connections Between LTL and Alternating Automata.
27238;Giovanni Pighizzini;Non-self-embedding Grammars, Constant-Height Pushdown Automata, and Limited Automata.
27249;Giovanni Pighizzini;Investigations on Automata and Languages over a Unary Alphabet.
27267;Giovanni Pighizzini;Deterministic Pushdown Automata and Unary Languages.
27275;Giovanni Pighizzini;Unary Language Concatenation and Its State Complexity.
27306;Marcin Piatkowski;The Number of Runs in Sturmian Words.
27311;Maximilian Schlund;FPsolve: A Generic Solver for Fixpoint Equations over Semirings.
27333;Alexandre Duret-Lutz;A Type System for Weighted Automata and Rational Expressions.
27339;Alexandre Duret-Lutz;Implementation Concepts in Vaucanson 2.
27355;J. Andrés Montoya;Looking for Pairs that Hard to Separate: A Quantum Approach.
27399;Matthieu Constant;A Finite-State Super-Chunker.
27402;Matthieu Constant;Compiling Linguistic Constraints into Finite State Automata.
27449;Henning Fernau;Computational Completeness of Path-Structured Graph-Controlled Insertion-Deletion Systems.
27460;Henning Fernau;Problems on Finite Automata and the Exponential Time Hypothesis.
27465;Henning Fernau;Jumping Finite Automata: Characterizations and Complexity.
27608;Farn Wang;Timing Parameter Characterization of Real-Time Systems.
27609;Farn Wang;TCTL Inevitability Analysis of Dense-Time Systems.
27685;Lukás Holík;Antichain-Based Universality and Inclusion Testing over Nondeterministic Finite Tree Automata.
27686;Lukás Holík;Composed Bisimulation for Tree Automata.
27687;John-Paul Harper;The MERLin Environment Applied to *-NFAs.
27710;Johannes Waldmann;Finding Finite Automata That Certify Termination of String Rewriting.
27718;Yonghua Han;An Automata Approach to Match Gapped Sequence Tags Against Protein Database.
27720;Jacques Sakarovitch;The Validity of Weighted Automata.
27721;Jacques Sakarovitch;Two Routes to Automata Minimization and the Ways to Reach It Efficiently.
27724;Jacques Sakarovitch;A Type System for Weighted Automata and Rational Expressions.
27728;Jacques Sakarovitch;Implementation Concepts in Vaucanson 2.
27729;Jacques Sakarovitch;The Removal of Weighted ε-Transitions.
27739;Jacques Sakarovitch;The Language, the Expression, and the (Small) Automaton.
27740;Jacques Sakarovitch;Inside Vaucanson.
27742;Jacques Sakarovitch;Introducing VAUCANSON.
27760;Michel Coornaert;Cellular Automata on Regular Rooted Trees.
27762;Teodora Nasz;Ambiguity Hierarchies for Weighted Tree Automata.
27765;Mónica del Pilar Canales Chacon;On a Class of Bijective Binary Transducers with Finitary Description Despite Infinite State Set.
27780;Szabolcs Iván;Games for Temporal Logics on Trees.
27800;Ming-Hsien Tsai;State of Büchi Complementation.
27806;Gloria Andrade;Compilation of Constraint-Based Contextual Rules for Part-of-Speech Tagging into Finite State Transducers.
27897;Markus Lohrey;Tree Automata and XPath on Compressed Trees.
27927;Lauri Karttunen;Applications of Finite-State Transducers in Natural Language Processing.
27981;Hans Zantema;Finding Finite Automata That Certify Termination of String Rewriting.
28003;Luca Prigioniero;Boolean Kernels of Context-Free Languages.
28010;Luca Prigioniero;Non-self-embedding Grammars, Constant-Height Pushdown Automata, and Limited Automata.
28018;Franck Guingne;Reducing Acyclic Cover Transducers.
28020;Franck Guingne;None
28022;Franck Guingne;WFSC - A New Weighted Finite State Compiler.
28023;Franck Guingne;Running Time Complexity of Printing an Acyclic Automaton.
28024;Franck Guingne;Finite State Lazy Operations in NLP.
28033;Renate Klempien-Hinrichs;Computing Raster Images from Grid Picture Grammars.
28034;Renate Klempien-Hinrichs;TREEBAG.
28043;Hwee Kim;A General Architecture of Oritatami Systems for Simulating Arbitrary Finite Automata.
28057;Ivan Zakharyaschev;On the Equivalence-Checking Problem for a Model of Programs Related with Multi-tape Automata.
28076;Masaki Nakanishi;Classical and Quantum Counter Automata on Promise Problems.
28105;Keisuke Nakano;Streaming Ranked-Tree-to-String Transducers.
28136;Zdenek Tronícek;Common Subsequence Automaton.
28155;Simão Melo de Sousa;Partial Derivative Automata Formalized in Coq.
28182;Markus Ulbricht;Ambiguity Hierarchies for Weighted Tree Automata.
28201;María Jesús Aranzabe;Using Finite State Technology in Natural Language Processing of Basque.
28202;Patrick Hütten;Symbolic Synthesis of Finite-State Controllers for Request-Response Specifications.
28206;Jean Berstel;On the Complexity of Hopcroft\'s State Minimization Algorithm.
28240;Karen Rudie;A Summary of Some Discrete-Event System Control Problems.
28267;Didier Caucal;Efficient Computation of Throughput Values of Context-Free Languages.
28328;Florin Manea;Bounded Prefix-Suffix Duplication.
28367;Denis Debarbieux;Early Nested Word Automata for XPath Query Answering on XML Streams.
28373;Md. Mahbubul Hasan;On Palindromic Sequence Automata and Applications.
28376;Florian Bruse;A Similarity Measure for Formal Languages Based on Convergent Geometric Series.
28395;Helmut Jürgensen;Automata for Codes.
28438;Miklós Bartha;Strong Retiming Equivalence of Synchronous Schemes.
28443;César Bravo;Building Context-Sensitive Parsers from CF Grammars with Regular Control Language.
28444;César Bravo;Adaptive Automata - A Revisited Proposal.
28548;Binxing Fang;SDFA: Series DFA for Memory-Efficient Regular Expression Matching.
28627;Catalin Ionut Tîrnauca;Types of Trusted Information That Make DFA Identification with Correction Queries Feasible.
28631;Catalin Ionut Tîrnauca;Syntax-Directed Translations and Quasi-alphabetic Tree Bimorphisms.
28636;Faissal Ouardi;From Regular Weighted Expressions to Finite Automata.
28654;Ian McQuillan;Semilinearity of Families of Languages.
28661;Ian McQuillan;On Bounded Semilinear Languages, Counter Machines, and Finite-Index ET0L.
28667;Ian McQuillan;On Comparing Deterministic Finite Automata and the Shuffle of Words.
28678;Ian McQuillan;Viral Gene Compression: Complexity and Verification.
28680;Ian McQuillan;Bag Automata and Stochastic Retrieval of Biomolecules in Solution.
28682;Marco Almeida;Incremental DFA Minimisation.
28683;Marco Almeida;FAdo and GUItar.
28686;Marco Almeida;Antimirov and Mosses\'s Rewrite System Revisited.
28690;Yusei Masuda;A General Architecture of Oritatami Systems for Simulating Arbitrary Finite Automata.
28691;Yusei Masuda;Towards the Algorithmic Molecular Self-assembly of Fractals by Cotranscriptional Folding.
28712;Benedikt Bollig;Automata and Logics for Concurrent Systems: Five Models in Five Pages.
28758;Dieter Hofbauer;Finding Finite Automata That Certify Termination of String Rewriting.
28775;Ingmar Meinecke;Regular Expressions on Average and in the Long Run.
28782;Ingmar Meinecke;Branching Automata with Costs - A Way of Reflecting Parallelism in Costs.
28900;Parosh Aziz Abdulla;Composed Bisimulation for Tree Automata.
28909;Parosh Aziz Abdulla;Bisimulation Minimization of Tree Automata.
28914;Parosh Aziz Abdulla;Minimization of Non-deterministic Automata with Large Alphabets.
28975;Gregory Kucherov;Subset Seed Automaton.
29021;Denis Lugiez;From Automata to Semilinear Sets: A Logical Solution for Sets L(C, P).
29043;Baozhen Shan;Stochastic Context-Free Graph Grammars for Glycoprotein Modelling.
29065;Juhani Karhumäki;Automata on Words.
29121;Bas Ploeger;Five Determinisation Algorithms.
29134;António Machiavelo;Counting Equivalent Linear Finite Transducers Using a Canonical Form.
29222;Kim G. Larsen;Timed and Untimed Energy Games.
29499;Magnus Steinby;Syntax-Directed Translations and Quasi-alphabetic Tree Bimorphisms.
29508;José Fortes Gálvez;Shift-Resolve Parsing: Simple, Unbounded Lookahead, Linear Time.
29512;José Fortes Gálvez;Bounded-Graph Construction for Noncanonical Discriminating-Reverse Parsers.
29513;José Fortes Gálvez;A Basis for Looping Extensions to Discriminating-Reverse Parsing.
29549;Violetta Lonati;Towards More Expressive 2D Deterministic Automata.
29571;Miklós Krész;Simulation of Soliton Circuits.
29572;John Wittnebel;Syntactic Complexity of Bifix-Free Languages.
29573;Shubh Narayan Singh;On Syntactic Complexity of Circular Semi-flower Automata.
29580;Sebastian Jakobi;More on Deterministic and Nondeterministic Finite Cover Automata - Extended Abstract.
29588;Sebastian Jakobi;Brzozowski\'s Minimization Algorithm - More Robust than Expected - (Extended Abstract).
29640;Christof Löding;Memory Reduction for Strategies in Infinite Games.
29654;Miri Kopel Ben-Nissan;Accelerating Boyer Moore Searches on Binary Texts.
29701;Elena V. Pribavkina;Reset Thresholds of Automata with Two Cycle Lengths.
29733;Erez Buchnik;Bouma2 - A High-Performance Input-Aware Multiple String-Match Algorithm.
29743;Jean-Marc Talbot;Trimming Visibly Pushdown Automata.
29782;Ömer Egecioglu;Automata-Theoretic Analysis of Bit-Split Languages for Packet Scanning.
29879;Jianwen Su;Conversation Protocols: A Formalism for Specification and Verification of Reactive Electronic Services.
29895;Jianwen Su;Generalizing the Discrete Timed Automaton.
29928;Jean Mairesse;Implementing Computations in Automaton (Semi)groups.
29952;Sebastian Maneth;Static Garbage Collection.
29986;Sebastian Maneth;Multi-Return Macro Tree Transducers.
29995;Sebastian Maneth;Tree Automata and XPath on Compressed Trees.
30030;Joachim Niehren;Early Nested Word Automata for XPath Query Answering on XML Streams.
30034;Joachim Niehren;Streamable Fragments of Forward XPath.
30094;Pavel Martyugin;Synchronization of Automata with One Undefined or Ambiguous Transition.
30095;Pavel Martyugin;Complexity of Problems Concerning Reset Words for Cyclic and Eulerian Automata.
30100;Ingo Felscher;Compositional Failure Detection in Structured Transition Systems.
30104;Ludovic Mignot;The Bottom-Up Position Tree Automaton and Its Compact Version.
30105;Ludovic Mignot;On the Hierarchy of Block Deterministic Languages.
30111;Ludovic Mignot;Multi-Tilde-Bar Derivatives.
30116;Ludovic Mignot;Small Extended Expressions for Acyclic Automata.
30117;Georgi Shopov;Algorithms for Probabilistic and Stochastic Subsequential Failure Transducers.
30133;Jakub Waszczuk;Enhancing Practical TAG Parsing Efficiency by Capturing Redundancy.
30149;Nils Klarlund;MONA Implementation Secrets.
30193;Marcel Vollweiler;Transductions Computed by PC-Systems of Monotone Deterministic Restarting Automata.
30196;Justin DeBenedetto;Algorithms and Training for Weighted Multiset Automata and Regular Expressions.
30198;Vincent Le Maout;Regular Expressions at Their Best: A Case for Rational Design.
30199;Vincent Le Maout;Cursors.
30201;Hariharan Subramanian;Compressing XML Documents Using Recursive Finite State Automata.
30218;Raphael \'kena\' Poss;Introducing VAUCANSON.
30225;Oscar H. Ibarra;Semilinearity of Families of Languages.
30231;Oscar H. Ibarra;On Bounded Semilinear Languages, Counter Machines, and Finite-Index ET0L.
30244;Oscar H. Ibarra;On the Ambiguity, Finite-Valuedness, and Lossiness Problems in Acceptors and Transducers.
30250;Oscar H. Ibarra;Some Decision Problems Concerning NPDAs, Palindromes, and Dyck Languages.
30254;Oscar H. Ibarra;How to Synchronize the Heads of a Multitape Automaton.
30260;Oscar H. Ibarra;On the Containment and Equivalence Problems for GSMs, Transducers, and Linear CFGs.
30264;Oscar H. Ibarra;Relational String Verification Using Multi-track Automata.
30293;Oscar H. Ibarra;On Deterministic Catalytic Systems.
30303;Oscar H. Ibarra;Automata-Theoretic Techniques for Analyzing Infinite-State Systems.
30320;Oscar H. Ibarra;Past Pushdown Timed Automata.
30327;Oscar H. Ibarra;Reachability and Safety in Queue Systems.
30328;Oscar H. Ibarra;Generalizing the Discrete Timed Automaton.
30385;Mohamed Zergaoui;Early Nested Word Automata for XPath Query Answering on XML Streams.
30400;Vikas Aggarwal;A Package for the Implementation of Block Codes as Finite Automata.
30402;Ines Klimann;A New Hierarchy for Automaton Semigroups.
30408;Ines Klimann;Implementing Computations in Automaton (Semi)groups.
30423;Aleksandrs Belovs;Looking for Pairs that Hard to Separate: A Quantum Approach.
30435;Jean-Luc Joly;On the Uniform Random Generation of Non Deterministic Automata Up to Isomorphism.
30436;Jean-Luc Joly;Random Generation and Enumeration of Accessible Deterministic Real-Time Pushdown Automata.
30457;Matteo Pradella;Towards More Expressive 2D Deterministic Automata.
30501;Anne Brüggemann-Klein;On Predictive Parsing and Extended Context-Free Grammars.
30505;Anne Brüggemann-Klein;Regularly Extended Two-Way Nondeterministic Tree Automata.
30529;Marcus Nilsson;Minimization of Non-deterministic Automata with Large Alphabets.
30546;José Alves;FAdo and GUItar.
30553;Gloria Inés Alvarez;Learning Regular Languages Using Nondeterministic Finite Automata.
30556;Gloria Inés Alvarez;Is Learning RFSAs Better Than Learning DFAs?.
30562;Bruno Guillon;Non-self-embedding Grammars, Constant-Height Pushdown Automata, and Limited Automata.
30570;Tristan Le Gall;A Completion Algorithm for Lattice Tree Automata.
30596;Tetsuya Matsumoto;A Run-Time Efficient Implementation of Compressed Pattern Matching Automata.
30611;Sævar Örn Kjartansson;On the Complexity of Determinizing Monitors.
30615;Tom Sebastian;Early Nested Word Automata for XPath Query Answering on XML Streams.
30617;Hermann Gruber;On 25 Years of CIAA Through the Lens of Data Science.
30621;Hermann Gruber;More on Deterministic and Nondeterministic Finite Cover Automata - Extended Abstract.
30625;Hermann Gruber;Short Regular Expressions from Finite Automata: Empirical Results.
30646;Jean-Michel Couvreur;A BDD-Like Implementation of an Automata Package.
30671;Hartmut Messerschmidt;Correctness Preservation and Complexity of Simple RL-Automata.
