;Author;Title
7017;Brink van der Merwe;On the Semantics of Regular Expression Parsing in the Wild.
7064;Christian Buckl;On the Hardness of Priority Synthesis.
7100;Cristina Tîrnauca;Types of Trusted Information That Make DFA Identification with Correction Queries Feasible.
7112;Johan Schalkwyk;Filters for Efficient Composition of Weighted Finite-State Transducers.
7119;Johan Schalkwyk;OpenFst: A General and Efficient Weighted Finite-State Transducer Library.
7129;Jan Daciuk;Smaller Representation of Finite State Automata.
7130;Jan Daciuk;An Implementation of Deterministic Tree Automata Minimization.
7134;Jan Daciuk;Incremental and Semi-incremental Construction of Pseudo-Minimal Automata.
7136;Jan Daciuk;Comparison of Construction Algorithms for Minimal, Acyclic, Deterministic, Finite-State Automata from Sets of Strings.
7137;Jan Daciuk;Finite Automata for Compact Representation of Language Models in NLP.
7138;Jan Daciuk;Experiments with Automata Compression.
7140;Özdeniz Dolu;Real-Time, Constant-Space, Constant-Randomness Verifiers.
7144;Harald Hempel;Persistent Computations of Turing Machines.
7164;José N. Oliveira;Typed Linear Algebra for Weigthed (Probabilistic) Automata.
7190;Kees Hemerik;Forest FIRE: A Taxonomy-based Toolkit of Tree Automata and Regular Tree Algorithms.
7193;Nicholas Tran;Variations of the Separating Words Problem.
7207;Laura K. Hutchinson;A Toolkit for Parikh Matrices.
7215;Paolo Massazza;None
7245;Benjamin Monmege;Adding Pebbles to Weighted Automata.
7249;Angelo Borsotti;A Benchmark Production Tool for Regular Expressions.
7250;Angelo Borsotti;From Ambiguous Regular Expressions to Deterministic Parsing Automata.
7251;Angelo Borsotti;BSP: A Parsing Tool for Ambiguous Regular Expressions.
7351;Christel Baier;None
7365;Christel Baier;Experiments with Deterministic omega-Automata for Formulas of Linear Temporal Logic.
7402;Valérie Murat;A Completion Algorithm for Lattice Tree Automata.
7418;Ashish Rastogi;On the Computation of Some Standard Distances Between Probabilistic Automata.
7436;Dora Giammarresi;Tiling Automaton: A Computational Model for Recognizable Two-Dimensional Languages.
7439;Dora Giammarresi;Finite Automata and Non-self-Embedding Grammars.
7456;Laurent Noé;Subset Seed Automaton.
7461;Jens Vöge;Implementation of a Strategy Improvement Algorithm for Finite-State Parity Games.
7470;Gordana Pavlovic-Lazetic;Information Extraction from Semi-structured Resources: A Two-Phase Finite State Transducers Approach.
7484;Francisco-Mario Barcala;Compilation Methods of Minimal Acyclic Finite-State Automata for Large Dictionaries.
7485;Emine Seid-Hilmi;Factor Oracles.
7565;Robert E. Mercer;Crystal Lattice Automata.
7605;Pierre-Alain Reynier;Trimming Visibly Pushdown Automata.
7653;Manuel Baclet;Around Hopcroft\'s Algorithm.
7725;Wojciech Rytter;The Number of Runs in Sturmian Words.
7728;Wojciech Rytter;Efficient Computation of Throughput Values of Context-Free Languages.
7732;Wojciech Rytter;Reducing Simple Grammars: Exponential Against Highly-Polynomial Time in Practice.
7734;Wojciech Rytter;Prime Normal Form and Equivalence of Simple Grammars.
7735;Wojciech Rytter;The Structure of Subword Graphs and Suffix Trees of Fibonacci Words.
7744;Wojciech Rytter;Prime Decompositions of Regular Prefix Codes.
7814;Kenny Zhuo Ming Lu;Derivative-Based Diagnosis of Regular Expression Ambiguity.
7822;Thibault Godin;A New Hierarchy for Automaton Semigroups.
7930;Rupak Majumdar;A Uniformization Theorem for Nested Word to Word Transductions.
8060;Frédérique Bassino;: A Library to Randomly and Exhaustively Generate Automata.
8070;Sarah O\'Connor;Inside Vaucanson.
8075;Marco Cognetta;Online Stochastic Pattern Matching.
8098;Mathieu Giraud;None
8099;Mathieu Giraud;Linear Encoding Scheme for Weighted Finite Automata.
8105;François Cantin;Computing Convex Hulls by Automata Iteration.
8113;Colin de la Higuera;Computing the Expected Edit Distance from a String to a PFA.
8139;Colin de la Higuera;Learning Stochastic Finite Automata for Musical Style Recognition.
8274;David Harel;Synthesizing State-Based Object Systems from LSC Specifications.
8342;Khaled El-Fakih;Preset and Adaptive Homing Experiments for Nondeterministic Finite State Machines.
8348;Khaled El-Fakih;Progressive Solutions to FSM Equations.
8364;Clemens Marschner;Efficiently Matching with Local Grammars Using Prefix Overlay Transducers.
8368;Ludwig Staiger;On the Values for Factor Complexity.
8370;Ludwig Staiger;Subword Metrics for Infinite Words.
8412;Gianluca Mezzetti;Towards Nominal Context-Free Model-Checking.
8415;Gianluca Mezzetti;Nominal Automata for Resource Usage Control.
8429;Yung-Pin Cheng;On-the-Fly Branching Bisimulation Minimization for Compositional Analysis.
8434;Hyeonseung Im;Efficient Enumeration of Regular Expressions for Faster Regular Expression Synthesis.
8444;Geng-Dian Hwang;TCTL Inevitability Analysis of Dense-Time Systems.
8445;Richard Mörbitz;Hybrid Tree Automata and the Yield Theorem for Constituent Tree Automata.
8451;Oliver A. S. Lyon;Nondeterministic State Complexity of Site-Directed Deletion.
