Author;Title;Co-Authors;Pagination;Published;Venue
S. P. Suresh;Dolev-Yao Theory with Associative Blindpair Operators.;Anguraj Baskar, R. Ramanujam;58-69;2019;CIAA 2019
Simon Beier;Semi-linear Lattices and Right One-Way Jumping Finite Automata (Extended Abstract).;Markus Holzer;70-82;2019;CIAA 2019
Markus Holzer;Semi-linear Lattices and Right One-Way Jumping Finite Automata (Extended Abstract).;Simon Beier;70-82;2019;CIAA 2019
Johanna Björklund;Z-Automata for Compact and Direct Representation of Unranked Tree Languages.;Frank Drewes, Giorgio Satta;83-94;2019;CIAA 2019
Frank Drewes;Z-Automata for Compact and Direct Representation of Unranked Tree Languages.;Johanna Björklund, Giorgio Satta;83-94;2019;CIAA 2019
Giorgio Satta;Z-Automata for Compact and Direct Representation of Unranked Tree Languages.;Johanna Björklund, Frank Drewes;83-94;2019;CIAA 2019
Angelo Borsotti;A Benchmark Production Tool for Regular Expressions.;Luca Breveglieri, Stefano Crespi-Reghizzi, Angelo Morzenti;95-107;2019;CIAA 2019
Luca Breveglieri;A Benchmark Production Tool for Regular Expressions.;Angelo Borsotti, Stefano Crespi-Reghizzi, Angelo Morzenti;95-107;2019;CIAA 2019
Stefano Crespi-Reghizzi;A Benchmark Production Tool for Regular Expressions.;Angelo Borsotti, Luca Breveglieri, Angelo Morzenti;95-107;2019;CIAA 2019
Angelo Morzenti;A Benchmark Production Tool for Regular Expressions.;Angelo Borsotti, Luca Breveglieri, Stefano Crespi-Reghizzi;95-107;2019;CIAA 2019
Shuhei Denzumi;New Algorithms for Manipulating Sequence BDDs.;nan;108-120;2019;CIAA 2019
Akio Fujiyoshi;A Simple Extension to Finite Tree Automata for Defining Sets of Labeled, Connected Graphs.;Daniel Prusa;121-132;2019;CIAA 2019
Daniel Prusa;A Simple Extension to Finite Tree Automata for Defining Sets of Labeled, Connected Graphs.;Akio Fujiyoshi;121-132;2019;CIAA 2019
Zoltán Fülöp;Composition Closure of Linear Weighted Extended Top-Down Tree Transducers.;Andreas Maletti;133-145;2019;CIAA 2019
Andreas Maletti;Composition Closure of Linear Weighted Extended Top-Down Tree Transducers.;Zoltán Fülöp;133-145;2019;CIAA 2019
Yo-Sub Han;A General Architecture of Oritatami Systems for Simulating Arbitrary Finite Automata.;Hwee Kim, Yusei Masuda, Shinnosuke Seki;146-157;2019;CIAA 2019
