Author;Title;Co-Authors;Pagination;Published;Venue
Galina Jirásková;On the State and Computational Complexity of the Reverse of Acyclic Minimal DFAs.;Tomás Masopust;229-239;2012;CIAA 2012
Tomás Masopust;On the State and Computational Complexity of the Reverse of Acyclic Minimal DFAs.;Galina Jirásková;229-239;2012;CIAA 2012
Ines Klimann;Implementing Computations in Automaton (Semi)groups.;Jean Mairesse, Matthieu Picantin;240-252;2012;CIAA 2012
Jean Mairesse;Implementing Computations in Automaton (Semi)groups.;Ines Klimann, Matthieu Picantin;240-252;2012;CIAA 2012
Matthieu Picantin;Implementing Computations in Automaton (Semi)groups.;Ines Klimann, Jean Mairesse;240-252;2012;CIAA 2012
Martin Kutrib;On the Descriptional Complexity of the Window Size for Deterministic Restarting Automata.;Friedrich Otto;253-264;2012;CIAA 2012
Friedrich Otto;On the Descriptional Complexity of the Window Size for Deterministic Restarting Automata.;Martin Kutrib;253-264;2012;CIAA 2012
Mehryar Mohri;A Disambiguation Algorithm for Finite Automata and Functional Transducers.;nan;265-277;2012;CIAA 2012
Pavel V. Martyugin;Synchronization of Automata with One Undefined or Ambiguous Transition.;nan;278-288;2012;CIAA 2012
Daniel Prusa;Restarting Tiling Automata.;Frantisek Mráz;289-300;2012;CIAA 2012
Frantisek Mráz;Restarting Tiling Automata.;Daniel Prusa;289-300;2012;CIAA 2012
Andreas Reuß;None;Helmut Seidl;301-312;2012;CIAA 2012
Helmut Seidl;None;Andreas Reuß;301-312;2012;CIAA 2012
Ahmed Amarni;Factor and Subsequence Kernels and Signatures of Rational Languages.;Sylvain Lombardy;313-320;2012;CIAA 2012
Sylvain Lombardy;Factor and Subsequence Kernels and Signatures of Rational Languages.;Ahmed Amarni;313-320;2012;CIAA 2012
Pascal Caron;Multi-Tilde-Bar Derivatives.;Jean-Marc Champarnaud, Ludovic Mignot;321-328;2012;CIAA 2012
Jean-Marc Champarnaud;Multi-Tilde-Bar Derivatives.;Pascal Caron, Ludovic Mignot;321-328;2012;CIAA 2012
Ludovic Mignot;Multi-Tilde-Bar Derivatives.;Pascal Caron, Jean-Marc Champarnaud;321-328;2012;CIAA 2012
Pierre-Cyrille Héam;On Positive TAGED with a Bounded Number of Constraints.;Vincent Hugot, Olga Kouchnarenko;329-336;2012;CIAA 2012
Vincent Hugot;On Positive TAGED with a Bounded Number of Constraints.;Pierre-Cyrille Héam, Olga Kouchnarenko;329-336;2012;CIAA 2012
Olga Kouchnarenko;On Positive TAGED with a Bounded Number of Constraints.;Pierre-Cyrille Héam, Vincent Hugot;329-336;2012;CIAA 2012
Tingwen Liu;SDFA: Series DFA for Memory-Efficient Regular Expression Matching.;Yong Sun, Li Guo, Binxing Fang;337-344;2012;CIAA 2012
Yong Sun;SDFA: Series DFA for Memory-Efficient Regular Expression Matching.;Tingwen Liu, Li Guo, Binxing Fang;337-344;2012;CIAA 2012
Li Guo;SDFA: Series DFA for Memory-Efficient Regular Expression Matching.;Tingwen Liu, Yong Sun, Binxing Fang;337-344;2012;CIAA 2012
Binxing Fang;SDFA: Series DFA for Memory-Efficient Regular Expression Matching.;Tingwen Liu, Yong Sun, Li Guo;337-344;2012;CIAA 2012
Sylvain Lombardy;The Removal of Weighted ε-Transitions.;Jacques Sakarovitch;345-352;2012;CIAA 2012
Jacques Sakarovitch;The Removal of Weighted ε-Transitions.;Sylvain Lombardy;345-352;2012;CIAA 2012
Eleni Mandrali;Weighted LTL with Discounting.;nan;353-360;2012;CIAA 2012
Daniel Reidenbach;Automata with Modulo Counters and Nondeterministic Counter Bounds.;Markus L. Schmid;361-368;2012;CIAA 2012
Markus L. Schmid;Automata with Modulo Counters and Nondeterministic Counter Bounds.;Daniel Reidenbach;361-368;2012;CIAA 2012
Oscar H. Ibarra;Automata-Theoretic Techniques for Analyzing Infinite-State Systems.;nan;1;2004;CIAA 2004
Jonathan Lee;Enumerating Regular Expressions and Their Languages.;Jeffrey O. Shallit;2-22;2004;CIAA 2004
Jeffrey O. Shallit;Enumerating Regular Expressions and Their Languages.;Jonathan Lee;2-22;2004;CIAA 2004
Cyril Allauzen;A General Weighted Grammar Library.;Mehryar Mohri, Brian Roark;23-34;2004;CIAA 2004
Mehryar Mohri;A General Weighted Grammar Library.;Cyril Allauzen, Brian Roark;23-34;2004;CIAA 2004
Brian Roark;A General Weighted Grammar Library.;Cyril Allauzen, Mehryar Mohri;23-34;2004;CIAA 2004
Jean Berstel;On the Complexity of Hopcroft's State Minimization Algorithm.;Olivier Carton;35-44;2004;CIAA 2004
Olivier Carton;On the Complexity of Hopcroft's State Minimization Algorithm.;Jean Berstel;35-44;2004;CIAA 2004
Aneta Binder;Implementation of Catalytic P Systems.;Rudolf Freund, Georg Lojka, Marion Oswald;45-56;2004;CIAA 2004
Rudolf Freund;Implementation of Catalytic P Systems.;Aneta Binder, Georg Lojka, Marion Oswald;45-56;2004;CIAA 2004
Georg Lojka;Implementation of Catalytic P Systems.;Aneta Binder, Rudolf Freund, Marion Oswald;45-56;2004;CIAA 2004
Marion Oswald;Implementation of Catalytic P Systems.;Aneta Binder, Rudolf Freund, Georg Lojka;45-56;2004;CIAA 2004
Björn Borchardt;Code Selection by Tree Series Transducers.;nan;57-67;2004;CIAA 2004
Henning Bordihn;Some Non-semi-decidability Problems for Linear and Deterministic Context-Free Languages.;Markus Holzer, Martin Kutrib;68-79;2004;CIAA 2004
Markus Holzer;Some Non-semi-decidability Problems for Linear and Deterministic Context-Free Languages.;Henning Bordihn, Martin Kutrib;68-79;2004;CIAA 2004
Martin Kutrib;Some Non-semi-decidability Problems for Linear and Deterministic Context-Free Languages.;Henning Bordihn, Markus Holzer;68-79;2004;CIAA 2004
Jean-Marc Champarnaud;Brute Force Determinization of NFAs by Means of State Covers.;Fabien Coulon, Thomas Paranthoën;80-89;2004;CIAA 2004
Fabien Coulon;Brute Force Determinization of NFAs by Means of State Covers.;Jean-Marc Champarnaud, Thomas Paranthoën;80-89;2004;CIAA 2004
Thomas Paranthoën;Brute Force Determinization of NFAs by Means of State Covers.;Jean-Marc Champarnaud, Fabien Coulon;80-89;2004;CIAA 2004
Jean-Marc Champarnaud;Computing the Follow Automaton of an Expression.;Florent Nicart, Djelloul Ziadi;90-101;2004;CIAA 2004
Florent Nicart;Computing the Follow Automaton of an Expression.;Jean-Marc Champarnaud, Djelloul Ziadi;90-101;2004;CIAA 2004
Djelloul Ziadi;Computing the Follow Automaton of an Expression.;Jean-Marc Champarnaud, Florent Nicart;90-101;2004;CIAA 2004
Mark Daley;Viral Gene Compression: Complexity and Verification.;Ian McQuillan;102-112;2004;CIAA 2004
Ian McQuillan;Viral Gene Compression: Complexity and Verification.;Mark Daley;102-112;2004;CIAA 2004
Wojciech Debski;Concatenation State Machines and Simple Functions.;Wojciech Fraczak;113-124;2004;CIAA 2004
Wojciech Fraczak;Concatenation State Machines and Simple Functions.;Wojciech Debski;113-124;2004;CIAA 2004
Michiel Frishert;FIRE Station: An Environment for Manipulating Finite Automata and Regular Expression Views.;Loek G. Cleophas, Bruce W. Watson;125-133;2004;CIAA 2004
Loek G. Cleophas;FIRE Station: An Environment for Manipulating Finite Automata and Regular Expression Views.;Michiel Frishert, Bruce W. Watson;125-133;2004;CIAA 2004
Bruce W. Watson;FIRE Station: An Environment for Manipulating Finite Automata and Regular Expression Views.;Michiel Frishert, Loek G. Cleophas;125-133;2004;CIAA 2004
Alfons Geser;Finding Finite Automata That Certify Termination of String Rewriting.;Dieter Hofbauer, Johannes Waldmann, Hans Zantema;134-145;2004;CIAA 2004
Dieter Hofbauer;Finding Finite Automata That Certify Termination of String Rewriting.;Alfons Geser, Johannes Waldmann, Hans Zantema;134-145;2004;CIAA 2004
Johannes Waldmann;Finding Finite Automata That Certify Termination of String Rewriting.;Alfons Geser, Dieter Hofbauer, Hans Zantema;134-145;2004;CIAA 2004
Hans Zantema;Finding Finite Automata That Certify Termination of String Rewriting.;Alfons Geser, Dieter Hofbauer, Johannes Waldmann;134-145;2004;CIAA 2004
Mathieu Giraud;Linear Encoding Scheme for Weighted Finite Automata.;Dominique Lavenier;146-155;2004;CIAA 2004
Dominique Lavenier;Linear Encoding Scheme for Weighted Finite Automata.;Mathieu Giraud;146-155;2004;CIAA 2004
Yo-Sub Han;The Generalization of Generalized Automata: Expression Automata.;Derick Wood;156-166;2004;CIAA 2004
Derick Wood;The Generalization of Generalized Automata: Expression Automata.;Yo-Sub Han;156-166;2004;CIAA 2004
Yonghua Han;An Automata Approach to Match Gapped Sequence Tags Against Protein Database.;Bin Ma, Kaizhong Zhang;167-177;2004;CIAA 2004
Bin Ma;An Automata Approach to Match Gapped Sequence Tags Against Protein Database.;Yonghua Han, Kaizhong Zhang;167-177;2004;CIAA 2004
Kaizhong Zhang;An Automata Approach to Match Gapped Sequence Tags Against Protein Database.;Yonghua Han, Bin Ma;167-177;2004;CIAA 2004
Jozef Jirásek;State Complexity of Concatenation and Complementation of Regular Languages.;Galina Jirásková, Alexander Szabari;178-189;2004;CIAA 2004
Galina Jirásková;State Complexity of Concatenation and Complementation of Regular Languages.;Jozef Jirásek, Alexander Szabari;178-189;2004;CIAA 2004
Alexander Szabari;State Complexity of Concatenation and Complementation of Regular Languages.;Jozef Jirásek, Galina Jirásková;178-189;2004;CIAA 2004
Sebastian John;Minimal Unambiguous eNFA.;nan;190-201;2004;CIAA 2004
Lila Kari;Substitutions, Trajectories and Noisy Channels.;Stavros Konstantinidis, Petr Sosík;202-212;2004;CIAA 2004
Stavros Konstantinidis;Substitutions, Trajectories and Noisy Channels.;Lila Kari, Petr Sosík;202-212;2004;CIAA 2004
Petr Sosík;Substitutions, Trajectories and Noisy Channels.;Lila Kari, Stavros Konstantinidis;202-212;2004;CIAA 2004
Bryan Krawetz;State Complexity and the Monoid of Transformations of a Finite Set.;John Lawrence, Jeffrey O. Shallit;213-224;2004;CIAA 2004
John Lawrence;State Complexity and the Monoid of Transformations of a Finite Set.;Bryan Krawetz, Jeffrey O. Shallit;213-224;2004;CIAA 2004
Jeffrey O. Shallit;State Complexity and the Monoid of Transformations of a Finite Set.;Bryan Krawetz, John Lawrence;213-224;2004;CIAA 2004
Harumichi Nishimura;An Application of Quantum Finite Automata to Interactive Proof Systems.;Tomoyuki Yamakami;225-236;2004;CIAA 2004
Tomoyuki Yamakami;An Application of Quantum Finite Automata to Interactive Proof Systems.;Harumichi Nishimura;225-236;2004;CIAA 2004
Zeshan Peng;Time and Space Efficient Algorithms for Constrained Sequence Alignment.;H. F. Ting;237-246;2004;CIAA 2004
H. F. Ting;Time and Space Efficient Algorithms for Constrained Sequence Alignment.;Zeshan Peng;237-246;2004;CIAA 2004
Baozhen Shan;Stochastic Context-Free Graph Grammars for Glycoprotein Modelling.;nan;247-258;2004;CIAA 2004
German Tischler;Parametric Weighted Finite Automata for Figure Drawing.;nan;259-268;2004;CIAA 2004
Manuel Vilares Ferro;Regional Finite-State Error Repair.;Juan Otero, Jorge Graña Gil;269-280;2004;CIAA 2004
Juan Otero;Regional Finite-State Error Repair.;Manuel Vilares Ferro, Jorge Graña Gil;269-280;2004;CIAA 2004
Jorge Graña Gil;Regional Finite-State Error Repair.;Manuel Vilares Ferro, Juan Otero;269-280;2004;CIAA 2004
Anssi Yli-Jyrä;Approximating Dependency Grammars Through Intersection of Regular Languages.;nan;281-292;2004;CIAA 2004
Vladimir A. Zakharov;On the Equivalence-Checking Problem for a Model of Programs Related with Multi-tape Automata.;Ivan Zakharyaschev;293-305;2004;CIAA 2004
Ivan Zakharyaschev;On the Equivalence-Checking Problem for a Model of Programs Related with Multi-tape Automata.;Vladimir A. Zakharov;293-305;2004;CIAA 2004
Cezar Câmpeanu;Tight Bounds for NFA to DFCA Transformations for Binary Alphabets.;Andrei Paun;306-307;2004;CIAA 2004
Andrei Paun;Tight Bounds for NFA to DFCA Transformations for Binary Alphabets.;Cezar Câmpeanu;306-307;2004;CIAA 2004
Liliana Cojocaru;Simulating the Process of Gene Assembly in Ciliates.;nan;308-309;2004;CIAA 2004
Jean-Michel Couvreur;A BDD-Like Implementation of an Automata Package.;nan;310-311;2004;CIAA 2004
Manuel Delgado;Approximation to the Smallest Regular Expression for a Given Regular Language.;José Morais;312-314;2004;CIAA 2004
José Morais;Approximation to the Smallest Regular Expression for a Given Regular Language.;Manuel Delgado;312-314;2004;CIAA 2004
Attila Egri-Nagy;Algebraic Hierarchical Decomposition of Finite State Automata: Comparison of Implementations for Krohn-Rhodes Theory.;Chrystopher L. Nehaniv;315-316;2004;CIAA 2004
Chrystopher L. Nehaniv;Algebraic Hierarchical Decomposition of Finite State Automata: Comparison of Implementations for Krohn-Rhodes Theory.;Attila Egri-Nagy;315-316;2004;CIAA 2004
Mark G. Eramian;Does Hausdorff Dimension Measure Texture Complexity?.;Matthew Drotar;317-318;2004;CIAA 2004
Matthew Drotar;Does Hausdorff Dimension Measure Texture Complexity?.;Mark G. Eramian;317-318;2004;CIAA 2004
Michiel Frishert;Combining Regular Expressions with (Near-)Optimal Brzozowski Automata.;Bruce W. Watson;319-320;2004;CIAA 2004
Bruce W. Watson;Combining Regular Expressions with (Near-)Optimal Brzozowski Automata.;Michiel Frishert;319-320;2004;CIAA 2004
Denis Lugiez;From Automata to Semilinear Sets: A Logical Solution for Sets L(C, P).;nan;321-322;2004;CIAA 2004
Andreas Maletti;Myhill-Nerode Theorem for Sequential Transducers over Unique GCD-Monoids.;nan;323-324;2004;CIAA 2004
Libor Polák;Minimalizations of NFA Using the Universal Automaton.;nan;325-326;2004;CIAA 2004
Tomás Polcar;Two-Dimensional Pattern Matching by Two-Dimensional Online Tessellation Automata.;Borivoj Melichar;327-328;2004;CIAA 2004
Borivoj Melichar;Two-Dimensional Pattern Matching by Two-Dimensional Online Tessellation Automata.;Tomás Polcar;327-328;2004;CIAA 2004
Hellis Tamm;Size Reduction of Multitape Automata.;Matti Nykänen, Esko Ukkonen;329-330;2004;CIAA 2004
Matti Nykänen;Size Reduction of Multitape Automata.;Hellis Tamm, Esko Ukkonen;329-330;2004;CIAA 2004
Esko Ukkonen;Size Reduction of Multitape Automata.;Hellis Tamm, Matti Nykänen;329-330;2004;CIAA 2004
Gaoyan Xie;Testability of Oracle Automata.;Cheng Li, Zhe Dang;331-332;2004;CIAA 2004
Cheng Li;Testability of Oracle Automata.;Gaoyan Xie, Zhe Dang;331-332;2004;CIAA 2004
Zhe Dang;Testability of Oracle Automata.;Gaoyan Xie, Cheng Li;331-332;2004;CIAA 2004
Lynette van Zijl;Magic Numbers for Symmetric Difference NFAs.;nan;333-334;2004;CIAA 2004
Markus Holzer;Nondeterministic Finite Automata-Recent Results on the Descriptional and Computational Complexity.;Martin Kutrib;1-16;2008;CIAA 2008
Martin Kutrib;Nondeterministic Finite Automata-Recent Results on the Descriptional and Computational Complexity.;Markus Holzer;1-16;2008;CIAA 2008
Kai Salomaa;Language Decompositions, Primality, and Trajectory-Based Operations.;nan;17-22;2008;CIAA 2008
Mihalis Yannakakis;Automata, Probability, and Recursion.;nan;23-32;2008;CIAA 2008
Hsu-Chun Yen;Concurrency, Synchronization, and Conflicts in Petri Nets.;nan;33-35;2008;CIAA 2008
Yih-Kuen Tsay;Automated Compositional Reasoning of Intuitionistically Closed Regular Properties.;Bow-Yaw Wang;36-45;2008;CIAA 2008
Bow-Yaw Wang;Automated Compositional Reasoning of Intuitionistically Closed Regular Properties.;Yih-Kuen Tsay;36-45;2008;CIAA 2008
Marco Almeida;Antimirov and Mosses's Rewrite System Revisited.;Nelma Moreira, Rogério Reis;46-56;2008;CIAA 2008
Nelma Moreira;Antimirov and Mosses's Rewrite System Revisited.;Marco Almeida, Rogério Reis;46-56;2008;CIAA 2008
Rogério Reis;Antimirov and Mosses's Rewrite System Revisited.;Marco Almeida, Nelma Moreira;46-56;2008;CIAA 2008
Ahmed Bouajjani;Antichain-Based Universality and Inclusion Testing over Nondeterministic Finite Tree Automata.;Peter Habermehl, Lukás Holík, Tayssir Touili, Tomás Vojnar;57-67;2008;CIAA 2008
Peter Habermehl;Antichain-Based Universality and Inclusion Testing over Nondeterministic Finite Tree Automata.;Ahmed Bouajjani, Lukás Holík, Tayssir Touili, Tomás Vojnar;57-67;2008;CIAA 2008
Lukás Holík;Antichain-Based Universality and Inclusion Testing over Nondeterministic Finite Tree Automata.;Ahmed Bouajjani, Peter Habermehl, Tayssir Touili, Tomás Vojnar;57-67;2008;CIAA 2008
Tayssir Touili;Antichain-Based Universality and Inclusion Testing over Nondeterministic Finite Tree Automata.;Ahmed Bouajjani, Peter Habermehl, Lukás Holík, Tomás Vojnar;57-67;2008;CIAA 2008
Tomás Vojnar;Antichain-Based Universality and Inclusion Testing over Nondeterministic Finite Tree Automata.;Ahmed Bouajjani, Peter Habermehl, Lukás Holík, Tayssir Touili;57-67;2008;CIAA 2008
Jean-Marc Champarnaud;Testing Whether a Binary and Prolongeable Regular Language LIs Geometrical or Not on the Minimal Deterministic Automaton of Pref(L).;Jean-Philippe Dubernard, Hadrien Jeanne;68-77;2008;CIAA 2008
Jean-Philippe Dubernard;Testing Whether a Binary and Prolongeable Regular Language LIs Geometrical or Not on the Minimal Deterministic Automaton of Pref(L).;Jean-Marc Champarnaud, Hadrien Jeanne;68-77;2008;CIAA 2008
Hadrien Jeanne;Testing Whether a Binary and Prolongeable Regular Language LIs Geometrical or Not on the Minimal Deterministic Automaton of Pref(L).;Jean-Marc Champarnaud, Jean-Philippe Dubernard;68-77;2008;CIAA 2008
Andrei Paun;Hopcroft's Minimization Technique: Queues or Stacks?.;Mihaela Paun, Alfonso Rodríguez-Patón;78-91;2008;CIAA 2008
Mihaela Paun;Hopcroft's Minimization Technique: Queues or Stacks?.;Andrei Paun, Alfonso Rodríguez-Patón;78-91;2008;CIAA 2008
Alfonso Rodríguez-Patón;Hopcroft's Minimization Technique: Queues or Stacks?.;Andrei Paun, Mihaela Paun;78-91;2008;CIAA 2008
Pedro García;Learning Regular Languages Using Nondeterministic Finite Automata.;Manuel Vazquez de Parga, Gloria Inés Alvarez, José Ruiz;92-101;2008;CIAA 2008
Manuel Vazquez de Parga;Learning Regular Languages Using Nondeterministic Finite Automata.;Pedro García, Gloria Inés Alvarez, José Ruiz;92-101;2008;CIAA 2008
Gloria Inés Alvarez;Learning Regular Languages Using Nondeterministic Finite Automata.;Pedro García, Manuel Vazquez de Parga, José Ruiz;92-101;2008;CIAA 2008
José Ruiz;Learning Regular Languages Using Nondeterministic Finite Automata.;Pedro García, Manuel Vazquez de Parga, Gloria Inés Alvarez;92-101;2008;CIAA 2008
Kazuhiro Inaba;Multi-Return Macro Tree Transducers.;Haruo Hosoya, Sebastian Maneth;102-111;2008;CIAA 2008
Haruo Hosoya;Multi-Return Macro Tree Transducers.;Kazuhiro Inaba, Sebastian Maneth;102-111;2008;CIAA 2008
Sebastian Maneth;Multi-Return Macro Tree Transducers.;Kazuhiro Inaba, Haruo Hosoya;102-111;2008;CIAA 2008
François Cantin;Computing Convex Hulls by Automata Iteration.;Axel Legay, Pierre Wolper;112-121;2008;CIAA 2008
Axel Legay;Computing Convex Hulls by Automata Iteration.;François Cantin, Pierre Wolper;112-121;2008;CIAA 2008
Pierre Wolper;Computing Convex Hulls by Automata Iteration.;François Cantin, Axel Legay;112-121;2008;CIAA 2008
Takuya Nishiyama;A Translation from the HTML DTD into a Regular Hedge Grammar.;Yasuhiko Minamide;122-131;2008;CIAA 2008
Yasuhiko Minamide;A Translation from the HTML DTD into a Regular Hedge Grammar.;Takuya Nishiyama;122-131;2008;CIAA 2008
Andreas Maletti;Tree-Series-to-Tree-Series Transformations.;nan;132-140;2008;CIAA 2008
Ryan Dixon;Automata-Theoretic Analysis of Bit-Split Languages for Packet Scanning.;Ömer Egecioglu, Timothy Sherwood;141-150;2008;CIAA 2008
Ömer Egecioglu;Automata-Theoretic Analysis of Bit-Split Languages for Packet Scanning.;Ryan Dixon, Timothy Sherwood;141-150;2008;CIAA 2008
Timothy Sherwood;Automata-Theoretic Analysis of Bit-Split Languages for Packet Scanning.;Ryan Dixon, Ömer Egecioglu;141-150;2008;CIAA 2008
Jan Lahoda;Pattern Matching in DCA Coded Text.;Borivoj Melichar, Jan Zdárek;151-160;2008;CIAA 2008
Borivoj Melichar;Pattern Matching in DCA Coded Text.;Jan Lahoda, Jan Zdárek;151-160;2008;CIAA 2008
Jan Zdárek;Pattern Matching in DCA Coded Text.;Jan Lahoda, Borivoj Melichar;151-160;2008;CIAA 2008
Rob J. van Glabbeek;Five Determinisation Algorithms.;Bas Ploeger;161-170;2008;CIAA 2008
Bas Ploeger;Five Determinisation Algorithms.;Rob J. van Glabbeek;161-170;2008;CIAA 2008
Harald Hempel;Persistent Computations of Turing Machines.;Madlen Kimmritz;171-180;2008;CIAA 2008
Madlen Kimmritz;Persistent Computations of Turing Machines.;Harald Hempel;171-180;2008;CIAA 2008
Egor Dolzhenko;On Complexity of Two Dimensional Languages Generated by Transducers.;Natasa Jonoska;181-190;2008;CIAA 2008
Natasa Jonoska;On Complexity of Two Dimensional Languages Generated by Transducers.;Egor Dolzhenko;181-190;2008;CIAA 2008
Zoltán Ésik;Games for Temporal Logics on Trees.;Szabolcs Iván;191-200;2008;CIAA 2008
Szabolcs Iván;Games for Temporal Logics on Trees.;Zoltán Ésik;191-200;2008;CIAA 2008
Tetsuya Matsumoto;A Run-Time Efficient Implementation of Compressed Pattern Matching Automata.;Kazuhito Hagio, Masayuki Takeda;201-211;2008;CIAA 2008
Kazuhito Hagio;A Run-Time Efficient Implementation of Compressed Pattern Matching Automata.;Tetsuya Matsumoto, Masayuki Takeda;201-211;2008;CIAA 2008
Masayuki Takeda;A Run-Time Efficient Implementation of Compressed Pattern Matching Automata.;Tetsuya Matsumoto, Kazuhito Hagio;201-211;2008;CIAA 2008
Parosh Aziz Abdulla;Composed Bisimulation for Tree Automata.;Ahmed Bouajjani, Lukás Holík, Lisa Kaati, Tomás Vojnar;212-222;2008;CIAA 2008
Ahmed Bouajjani;Composed Bisimulation for Tree Automata.;Parosh Aziz Abdulla, Lukás Holík, Lisa Kaati, Tomás Vojnar;212-222;2008;CIAA 2008
Lukás Holík;Composed Bisimulation for Tree Automata.;Parosh Aziz Abdulla, Ahmed Bouajjani, Lisa Kaati, Tomás Vojnar;212-222;2008;CIAA 2008
Lisa Kaati;Composed Bisimulation for Tree Automata.;Parosh Aziz Abdulla, Ahmed Bouajjani, Lukás Holík, Tomás Vojnar;212-222;2008;CIAA 2008
Tomás Vojnar;Composed Bisimulation for Tree Automata.;Parosh Aziz Abdulla, Ahmed Bouajjani, Lukás Holík, Lisa Kaati;212-222;2008;CIAA 2008
Andrew Badr;Hyper-Minimization in O(n2).;nan;223-231;2008;CIAA 2008
Giovanni Pighizzini;Deterministic Pushdown Automata and Unary Languages.;nan;232-241;2008;CIAA 2008
Benoît Razet;Finite Eilenberg Machines.;nan;242-251;2008;CIAA 2008
Pawel Baturo;The Number of Runs in Sturmian Words.;Marcin Piatkowski, Wojciech Rytter;252-261;2008;CIAA 2008
Marcin Piatkowski;The Number of Runs in Sturmian Words.;Pawel Baturo, Wojciech Rytter;252-261;2008;CIAA 2008
Wojciech Rytter;The Number of Runs in Sturmian Words.;Pawel Baturo, Marcin Piatkowski;252-261;2008;CIAA 2008
Cyril Allauzen;3-Way Composition of Weighted Finite-State Transducers.;Mehryar Mohri;262-273;2008;CIAA 2008
Mehryar Mohri;3-Way Composition of Weighted Finite-State Transducers.;Cyril Allauzen;262-273;2008;CIAA 2008
Khaled El-Fakih;Progressive Solutions to FSM Equations.;Nina Yevtushenko;274-282;2008;CIAA 2008
Nina Yevtushenko;Progressive Solutions to FSM Equations.;Khaled El-Fakih;274-282;2008;CIAA 2008
Akio Fujiyoshi;Combination of Context-Free Grammars and Tree Automata for Unranked and Ranked Trees.;nan;283-285;2008;CIAA 2008
Martin Simunek;Approximate Periods with Levenshtein Distance.;Borivoj Melichar;286-287;2008;CIAA 2008
Borivoj Melichar;Approximate Periods with Levenshtein Distance.;Martin Simunek;286-287;2008;CIAA 2008
Gonzalo Navarro;Implementation and Application of Automata in String Processing.;nan;1;2009;CIAA 2009
Christoph Koch;Applications of Automata in XML Processing.;nan;2;2009;CIAA 2009
Helmut Seidl;Program Analysis through Finite Tree Automata.;nan;3;2009;CIAA 2009
Markus Holzer;An nlogn Algorithm for Hyper-minimizing States in a (Minimized) Deterministic Automaton.;Andreas Maletti;4-13;2009;CIAA 2009
Andreas Maletti;An nlogn Algorithm for Hyper-minimizing States in a (Minimized) Deterministic Automaton.;Markus Holzer;4-13;2009;CIAA 2009
Giusi Castiglione;On Extremal Cases of Hopcroft's Algorithm.;Antonio Restivo, Marinella Sciortino;14-23;2009;CIAA 2009
Antonio Restivo;On Extremal Cases of Hopcroft's Algorithm.;Giusi Castiglione, Marinella Sciortino;14-23;2009;CIAA 2009
Marinella Sciortino;On Extremal Cases of Hopcroft's Algorithm.;Giusi Castiglione, Antonio Restivo;14-23;2009;CIAA 2009
Jean Vuillemin;Compact Normal Form for Regular Languages as Xor Automata.;Nicolas Gama;24-33;2009;CIAA 2009
Nicolas Gama;Compact Normal Form for Regular Languages as Xor Automata.;Jean Vuillemin;24-33;2009;CIAA 2009
Martin Kutrib;Cellular Automata with Sparse Communication.;Andreas Malcher;34-43;2009;CIAA 2009
Andreas Malcher;Cellular Automata with Sparse Communication.;Martin Kutrib;34-43;2009;CIAA 2009
Adam Clarridge;A Cellular Automaton Model for Car Traffic with a Slow-to-Stop Rule.;Kai Salomaa;44-53;2009;CIAA 2009
Kai Salomaa;A Cellular Automaton Model for Car Traffic with a Slow-to-Stop Rule.;Adam Clarridge;44-53;2009;CIAA 2009
Jan Holub;On Parallel Implementations of Deterministic Finite Automata.;Stanislav Stekr;54-64;2009;CIAA 2009
Stanislav Stekr;On Parallel Implementations of Deterministic Finite Automata.;Jan Holub;54-64;2009;CIAA 2009
André Almeida;FAdo and GUItar.;Marco Almeida, José Alves, Nelma Moreira, Rogério Reis;65-74;2009;CIAA 2009
Marco Almeida;FAdo and GUItar.;André Almeida, José Alves, Nelma Moreira, Rogério Reis;65-74;2009;CIAA 2009
José Alves;FAdo and GUItar.;André Almeida, Marco Almeida, Nelma Moreira, Rogério Reis;65-74;2009;CIAA 2009
Nelma Moreira;FAdo and GUItar.;André Almeida, Marco Almeida, José Alves, Rogério Reis;65-74;2009;CIAA 2009
Rogério Reis;FAdo and GUItar.;André Almeida, Marco Almeida, José Alves, Nelma Moreira;65-74;2009;CIAA 2009
François Barthélemy;A Testing Framework for Finite-State Morphology.;nan;75-83;2009;CIAA 2009
Yanbing Liu;A Table Compression Method for Extended Aho-Corasick Automaton.;Yifu Yang, Ping Liu, Jianlong Tan;84-93;2009;CIAA 2009
Yifu Yang;A Table Compression Method for Extended Aho-Corasick Automaton.;Yanbing Liu, Ping Liu, Jianlong Tan;84-93;2009;CIAA 2009
Ping Liu;A Table Compression Method for Extended Aho-Corasick Automaton.;Yanbing Liu, Yifu Yang, Jianlong Tan;84-93;2009;CIAA 2009
Jianlong Tan;A Table Compression Method for Extended Aho-Corasick Automaton.;Yanbing Liu, Yifu Yang, Ping Liu;84-93;2009;CIAA 2009
Kazuhiro Inaba;Compact Representation for Answer Sets of n-ary Regular Queries.;Haruo Hosoya;94-104;2009;CIAA 2009
Haruo Hosoya;Compact Representation for Answer Sets of n-ary Regular Queries.;Kazuhiro Inaba;94-104;2009;CIAA 2009
Akio Fujiyoshi;Recognition of a Spanning Tree of Directed Acyclic Graphs by Tree Automata.;nan;105-114;2009;CIAA 2009
Pierre-Cyrille Héam;Random Generation of Deterministic Tree (Walking) Automata.;Cyril Nicaud, Sylvain Schmitz;115-124;2009;CIAA 2009
