Author;Title;Co-Authors;Pagination;Published in
Bala Ravikumar;On Some Variations of Two-Way Probabilistic Finite Automata Models.;nan;443-454;2006
Mikolaj Bojanczyk;Factorization Forests.;nan;1-17;2009
Benedikt Bollig;Weighted versus Probabilistic Logics.;Paul Gastin;18-38;2009
Paul Gastin;Weighted versus Probabilistic Logics.;Benedikt Bollig;18-38;2009
Tero Harju;Post Correspondence Problem and Small Dimensional Matrices.;nan;39-46;2009
Christos A. Kapoutsis;Size Complexity of Two-Way Finite Automata.;nan;47-66;2009
Jorge Almeida;Matrix Mortality and the Cerný-Pin Conjecture.;Benjamin Steinberg;67-80;2009
Benjamin Steinberg;Matrix Mortality and the Cerný-Pin Conjecture.;Jorge Almeida;67-80;2009
Marie-Pierre Béal;A Quadratic Upper Bound on the Size of a Synchronizing Word in One-Cluster Automata.;Dominique Perrin;81-90;2009
Dominique Perrin;A Quadratic Upper Bound on the Size of a Synchronizing Word in One-Cluster Automata.;Marie-Pierre Béal;81-90;2009
Christoph Behle;Regular Languages Definable by Majority Quantifiers with Two Variables.;Andreas Krebs, Stephanie Reifferscheid;91-102;2009
Andreas Krebs;Regular Languages Definable by Majority Quantifiers with Two Variables.;Christoph Behle, Stephanie Reifferscheid;91-102;2009
Stephanie Reifferscheid;Regular Languages Definable by Majority Quantifiers with Two Variables.;Christoph Behle, Andreas Krebs;91-102;2009
Alberto Bertoni;The Inclusion Problem of Context-Free Languages: Some Tractable Cases.;Christian Choffrut, Roberto Radicioni;103-112;2009
Christian Choffrut;The Inclusion Problem of Context-Free Languages: Some Tractable Cases.;Alberto Bertoni, Roberto Radicioni;103-112;2009
Roberto Radicioni;The Inclusion Problem of Context-Free Languages: Some Tractable Cases.;Alberto Bertoni, Christian Choffrut;103-112;2009
Brandon Blakeley;On the Complexity of Deciding Avoidability of Sets of Partial Words.;Francine Blanchet-Sadri, Josh Gunter, Narad Rampersad;113-124;2009
Francine Blanchet-Sadri;On the Complexity of Deciding Avoidability of Sets of Partial Words.;Brandon Blakeley, Josh Gunter, Narad Rampersad;113-124;2009
Josh Gunter;On the Complexity of Deciding Avoidability of Sets of Partial Words.;Brandon Blakeley, Francine Blanchet-Sadri, Narad Rampersad;113-124;2009
Narad Rampersad;On the Complexity of Deciding Avoidability of Sets of Partial Words.;Brandon Blakeley, Francine Blanchet-Sadri, Josh Gunter;113-124;2009
Janusz A. Brzozowski;Closures in Formal Languages and Kuratowski's Theorem.;Elyot Grant, Jeffrey O. Shallit;125-144;2009
Elyot Grant;Closures in Formal Languages and Kuratowski's Theorem.;Janusz A. Brzozowski, Jeffrey O. Shallit;125-144;2009
Jeffrey O. Shallit;Closures in Formal Languages and Kuratowski's Theorem.;Janusz A. Brzozowski, Elyot Grant;125-144;2009
Michelangelo Bucci;Rich and Periodic-Like Words.;Aldo de Luca, Alessandro De Luca;145-155;2009
Aldo de Luca;Rich and Periodic-Like Words.;Michelangelo Bucci, Alessandro De Luca;145-155;2009
Alessandro De Luca;Rich and Periodic-Like Words.;Michelangelo Bucci, Aldo de Luca;145-155;2009
Simone Campanoni;Traces of Control-Flow Graphs.;Stefano Crespi-Reghizzi;156-169;2009
Stefano Crespi-Reghizzi;Traces of Control-Flow Graphs.;Simone Campanoni;156-169;2009
Olivier Carton;Left and Right Synchronous Relations.;nan;170-182;2009
Elena Czeizler;An Extension of the Lyndon Schützenberger Result to Pseudoperiodic Words.;Eugen Czeizler, Lila Kari, Shinnosuke Seki;183-194;2009
Eugen Czeizler;An Extension of the Lyndon Schützenberger Result to Pseudoperiodic Words.;Elena Czeizler, Lila Kari, Shinnosuke Seki;183-194;2009
Lila Kari;An Extension of the Lyndon Schützenberger Result to Pseudoperiodic Words.;Elena Czeizler, Eugen Czeizler, Shinnosuke Seki;183-194;2009
Shinnosuke Seki;An Extension of the Lyndon Schützenberger Result to Pseudoperiodic Words.;Elena Czeizler, Eugen Czeizler, Lila Kari;183-194;2009
Bruno Durand;Asymptotic Cellular Complexity.;Victor Poupet;195-206;2009
Victor Poupet;Asymptotic Cellular Complexity.;Bruno Durand;195-206;2009
Ömer Egecioglu;Strongly Regular Grammars and Regular Approximation of Context-Free Languages.;nan;207-220;2009
Szilárd Zsolt Fazekas;Powers of Regular Languages.;nan;221-227;2009
Dominik D. Freydenberger;Existence and Nonexistence of Descriptive Patterns.;Daniel Reidenbach;228-239;2009
Daniel Reidenbach;Existence and Nonexistence of Descriptive Patterns.;Dominik D. Freydenberger;228-239;2009
Pierluigi Frisco;On Stateless Multihead Finite Automata and Multihead Pushdown Automata.;Oscar H. Ibarra;240-251;2009
Oscar H. Ibarra;On Stateless Multihead Finite Automata and Multihead Pushdown Automata.;Pierluigi Frisco;240-251;2009
Christiane Frougny;On Negative Bases.;Anna Chiara Lai;252-263;2009
Anna Chiara Lai;On Negative Bases.;Christiane Frougny;252-263;2009
Amy Glen;Crucial Words for Abelian Powers.;Bjarni V. Halldórsson, Sergey Kitaev;264-275;2009
Bjarni V. Halldórsson;Crucial Words for Abelian Powers.;Amy Glen, Sergey Kitaev;264-275;2009
Sergey Kitaev;Crucial Words for Abelian Powers.;Amy Glen, Bjarni V. Halldórsson;264-275;2009
Hermann Gruber;Tight Bounds on the Descriptional Complexity of Regular Expressions.;Markus Holzer;276-287;2009
Markus Holzer;Tight Bounds on the Descriptional Complexity of Regular Expressions.;Hermann Gruber;276-287;2009
Emmanuel Jeandel;Subshifts, Languages and Logic.;Guillaume Theyssier;288-299;2009
Guillaume Theyssier;Subshifts, Languages and Logic.;Emmanuel Jeandel;288-299;2009
Galina Jirásková;Magic Numbers and Ternary Alphabet.;nan;300-311;2009
Makoto Kanazawa;The Pumping Lemma for Well-Nested Multiple Context-Free Languages.;nan;312-325;2009
Daniel Kirsten;The Support of a Recognizable Series over a Zero-Sum Free, Commutative Semiring Is Recognizable.;nan;326-333;2009
Vassilis Kountouriotis;A Game-Theoretic Characterization of Boolean Grammars.;Christos Nomikos, Panos Rondogiannis;334-347;2009
Christos Nomikos;A Game-Theoretic Characterization of Boolean Grammars.;Vassilis Kountouriotis, Panos Rondogiannis;334-347;2009
Panos Rondogiannis;A Game-Theoretic Characterization of Boolean Grammars.;Vassilis Kountouriotis, Christos Nomikos;334-347;2009
