Venue;Year;Author;URL;CoAuthorList;Title;Pagination;NoAuthor;AuthorURLs;DOI
Workshop on Implementing Automata;1997;Djelloul Ziadi;https://dblp.org/pid/83/2086.html;Djelloul Ziadi;Sorting and Doubling Techniques for Set Partitioning and Automata Minimization Problems.;241-251;1;https://dblp.org/pid/83/2086.html;10.1007/BFb0031397
Workshop on Implementing Automata;1996;Djelloul Ziadi;https://dblp.org/pid/83/2086.html;Jean-Luc Ponty, Djelloul Ziadi, Jean-Marc Champarnaud;A New Quadratic Algorithm to Convert a Regular Expression into an Automaton.;109-119;3;https://dblp.org/pid/15/3639.html,https://dblp.org/pid/30/6143.html,https://dblp.org/pid/83/2086.html;10.1007/3-540-63174-7_9
CIAA;2016;Zoltán Ésik;https://dblp.org/pid/e/ZoltanEsik.html;Zoltán Ésik;Ternary Equational Languages.;77-88;1;https://dblp.org/pid/e/ZoltanEsik.html;10.1007/978-3-319-40946-7_7
CIAA;2010;Zoltán Ésik;https://dblp.org/pid/e/ZoltanEsik.html;Zoltán Ésik, Andreas Maletti;Simulations of Weighted Tree Automata.;321-330;2;https://dblp.org/pid/48/3591.html,https://dblp.org/pid/e/ZoltanEsik.html;10.1007/978-3-642-18098-9_34
CIAA;2008;Zoltán Ésik;https://dblp.org/pid/e/ZoltanEsik.html;Zoltán Ésik, Szabolcs Iván;Games for Temporal Logics on Trees.;191-200;2;https://dblp.org/pid/09/1881.html,https://dblp.org/pid/e/ZoltanEsik.html;10.1007/978-3-540-70844-5_20
CIAA;2016;Andrew Winslow;https://dblp.org/pid/86/8242.html;Shinnosuke Seki, Andrew Winslow;The Complexity of Fixed-Height Patterned Tile Self-assembly.;248-259;2;https://dblp.org/pid/70/1118.html,https://dblp.org/pid/86/8242.html;10.1007/978-3-319-40946-7_21
CIAA;2021;Stefano Scafiti;https://dblp.org/pid/247/4205.html;Simone Faro, Stefano Scafiti;Efficient String Matching Based on a Two-Step Simulation of the Suffix Automaton.;165-177;2;https://dblp.org/pid/247/4205.html,https://dblp.org/pid/92/5606.html;10.1007/978-3-030-79121-6_14
CIAA;2012;Binxing Fang;https://dblp.org/pid/87/254.html;Tingwen Liu, Yong Sun, Li Guo, Binxing Fang;SDFA: Series DFA for Memory-Efficient Regular Expression Matching.;337-344;4;https://dblp.org/pid/02/929-1.html,https://dblp.org/pid/56/7911.html,https://dblp.org/pid/64/3333.html,https://dblp.org/pid/87/254.html;10.1007/978-3-642-31606-7_30
CIAA;2016;Lamana Mulaffer;https://dblp.org/pid/182/6182.html;Christos A. Kapoutsis, Lamana Mulaffer;A Logical Characterization of Small 2NFAs.;163-175;2;https://dblp.org/pid/182/6182.html,https://dblp.org/pid/71/6552.html;10.1007/978-3-319-40946-7_14
CIAA;2013;Lasse Nielsen;https://dblp.org/pid/51/8776.html;Niels Bjørn Bugge Grathwohl, Fritz Henglein, Lasse Nielsen, Ulrik Terp Rasmussen;Two-Pass Greedy Regular Expression Parsing.;60-71;4;https://dblp.org/pid/132/1964.html,https://dblp.org/pid/51/8776.html,https://dblp.org/pid/63/9638.html,https://dblp.org/pid/h/FritzHenglein.html;10.1007/978-3-642-39274-0_7
CIAA;2007;Joachim Klein;https://dblp.org/pid/k/JoachimKlein1.html;Joachim Klein, Christel Baier;On-the-Fly Stuttering in the Construction of Deterministic ;51-61;2;https://dblp.org/pid/b/ChristelBaier.html,https://dblp.org/pid/k/JoachimKlein1.html;10.1007/978-3-540-76336-9_7
CIAA;2005;Joachim Klein;https://dblp.org/pid/k/JoachimKlein1.html;Joachim Klein, Christel Baier;Experiments with Deterministic omega-Automata for Formulas of Linear Temporal Logic.;199-212;2;https://dblp.org/pid/b/ChristelBaier.html,https://dblp.org/pid/k/JoachimKlein1.html;10.1007/11605157_17
CIAA;2015;Masaki Nakanishi;https://dblp.org/pid/94/270.html;Masaki Nakanishi, Abuzer Yakaryilmaz;Classical and Quantum Counter Automata on Promise Problems.;224-237;2;https://dblp.org/pid/82/4618.html,https://dblp.org/pid/94/270.html;10.1007/978-3-319-22360-5_19
CIAA;2002;Anne Brüggemann-Klein;https://dblp.org/pid/b/ABruggemannKlein.html;Anne Brüggemann-Klein, Derick Wood;On Predictive Parsing and Extended Context-Free Grammars.;239-247;2;https://dblp.org/pid/b/ABruggemannKlein.html,https://dblp.org/pid/w/DerickWood.html;10.1007/3-540-44977-9_24
CIAA;2000;Anne Brüggemann-Klein;https://dblp.org/pid/b/ABruggemannKlein.html;Anne Brüggemann-Klein, Derick Wood;Regularly Extended Two-Way Nondeterministic Tree Automata.;57-66;2;https://dblp.org/pid/b/ABruggemannKlein.html,https://dblp.org/pid/w/DerickWood.html;10.1007/3-540-44674-5_4
CIAA;2003;Tsung-Shan Tsou;https://dblp.org/pid/44/90.html;Tsai-Hung Fan, Shufen Lee, Hsueh-I Lu, Tsung-Shan Tsou, Tsai-Cheng Wang, Adam Yao;An Optimal Algorithm for Maximum-Sum Segment and Its Application in Bioinformatics Extended Abstract.;251-257;6;https://dblp.org/pid/02/3376.html,https://dblp.org/pid/11/6327.html,https://dblp.org/pid/44/90.html,https://dblp.org/pid/57/4224.html,https://dblp.org/pid/64/762.html,https://dblp.org/pid/l/HsuehILu.html;10.1007/3-540-45089-0_23
CIAA;2009;Sylvain Schmitz;https://dblp.org/pid/62/6048.html;Pierre-Cyrille Héam, Cyril Nicaud, Sylvain Schmitz;Random Generation of Deterministic Tree (Walking) Automata.;115-124;3;https://dblp.org/pid/28/881.html,https://dblp.org/pid/50/1007.html,https://dblp.org/pid/62/6048.html;10.1007/978-3-642-02979-0_15
CIAA;2006;Sylvain Schmitz;https://dblp.org/pid/62/6048.html;José Fortes Gálvez, Sylvain Schmitz, Jacques Farré;Shift-Resolve Parsing: Simple, Unbounded Lookahead, Linear Time.;253-264;3;https://dblp.org/pid/58/4731.html,https://dblp.org/pid/62/6048.html,https://dblp.org/pid/80/61.html;10.1007/11812128_24
CIAA;2014;Carlo Mereghetti;https://dblp.org/pid/96/438.html;Maria Paola Bianchi, Carlo Mereghetti, Beatrice Palano;On the Power of One-Way Automata with Quantum and Classical States.;84-97;3;https://dblp.org/pid/70/8932.html,https://dblp.org/pid/96/438.html,https://dblp.org/pid/97/5115.html;10.1007/978-3-319-08846-4_6
CIAA;2013;Carlo Mereghetti;https://dblp.org/pid/96/438.html;Martin Kutrib, Andreas Malcher, Carlo Mereghetti, Beatrice Palano, Matthias Wendlandt;Input-Driven Queue Automata: Finite Turns, Decidability, and Closure Properties.;232-243;5;https://dblp.org/pid/55/10307.html,https://dblp.org/pid/58/2201.html,https://dblp.org/pid/96/438.html,https://dblp.org/pid/97/5115.html,https://dblp.org/pid/k/MartinKutrib.html;10.1007/978-3-642-39274-0_21
CIAA;2012;Tomás Masopust;https://dblp.org/pid/34/5542.html;Galina Jirásková, Tomás Masopust;On the State and Computational Complexity of the Reverse of Acyclic Minimal DFAs.;229-239;2;https://dblp.org/pid/34/5542.html,https://dblp.org/pid/j/GJiraskova.html;10.1007/978-3-642-31606-7_20
CIAA;2007;Jorma Tarhio;https://dblp.org/pid/t/JormaTarhio.html;Hannu Peltola, Jorma Tarhio;On String Matching in Chunked Texts.;157-167;2;https://dblp.org/pid/69/340.html,https://dblp.org/pid/t/JormaTarhio.html;10.1007/978-3-540-76336-9_16
CIAA;2005;Ikuo Kawaharada;https://dblp.org/pid/83/4294.html;Akio Fujiyoshi, Ikuo Kawaharada;Deterministic Recognition of Trees Accepted by a Linear Pushdown Tree Automaton.;129-140;2;https://dblp.org/pid/17/927.html,https://dblp.org/pid/83/4294.html;10.1007/11605157_11
