Name;Title;Co-Authors;Pagintation;Published in;LNCS-link;Abstract
Michal Skrzypczak;Connecting Decidability and Complexity for MSO Logic.;;[<span itemprop="pagination">75-79</span>];[<meta content="2017" itemprop="datePublished"/>]
Simon Beier;On Regular Expression Proof Complexity.;Markus Holzer;[<span itemprop="pagination">83-95</span>];[<meta content="2017" itemprop="datePublished"/>]
Markus Holzer;On Regular Expression Proof Complexity.;Simon Beier;[<span itemprop="pagination">83-95</span>];[<meta content="2017" itemprop="datePublished"/>]
Simon Beier;Operational State Complexity and Decidability of Jumping Finite Automata.;Markus Holzer, Martin Kutrib;[<span itemprop="pagination">96-108</span>];[<meta content="2017" itemprop="datePublished"/>]
Markus Holzer;Operational State Complexity and Decidability of Jumping Finite Automata.;Simon Beier, Martin Kutrib;[<span itemprop="pagination">96-108</span>];[<meta content="2017" itemprop="datePublished"/>]
Martin Kutrib;Operational State Complexity and Decidability of Jumping Finite Automata.;Simon Beier, Markus Holzer;[<span itemprop="pagination">96-108</span>];[<meta content="2017" itemprop="datePublished"/>]
Vincent Hugot;Equivalence of Symbolic Tree Transducers.;Adrien Boiret, Joachim Niehren;[<span itemprop="pagination">109-121</span>];[<meta content="2017" itemprop="datePublished"/>]
Adrien Boiret;Equivalence of Symbolic Tree Transducers.;Vincent Hugot, Joachim Niehren;[<span itemprop="pagination">109-121</span>];[<meta content="2017" itemprop="datePublished"/>]
Joachim Niehren;Equivalence of Symbolic Tree Transducers.;Vincent Hugot, Adrien Boiret;[<span itemprop="pagination">109-121</span>];[<meta content="2017" itemprop="datePublished"/>]
Michiel de Bondt;DFAs and PFAs with Long Shortest Synchronizing Word Length.;Henk Don, Hans Zantema;[<span itemprop="pagination">122-133</span>];[<meta content="2017" itemprop="datePublished"/>]
Henk Don;DFAs and PFAs with Long Shortest Synchronizing Word Length.;Michiel de Bondt, Hans Zantema;[<span itemprop="pagination">122-133</span>];[<meta content="2017" itemprop="datePublished"/>]
Hans Zantema;DFAs and PFAs with Long Shortest Synchronizing Word Length.;Michiel de Bondt, Henk Don;[<span itemprop="pagination">122-133</span>];[<meta content="2017" itemprop="datePublished"/>]
Sabine Broda;On the Mother of All Automata: The Position Automaton.;Markus Holzer, Eva Maia, Nelma Moreira, Rogério Reis;[<span itemprop="pagination">134-146</span>];[<meta content="2017" itemprop="datePublished"/>]
Markus Holzer;On the Mother of All Automata: The Position Automaton.;Sabine Broda, Eva Maia, Nelma Moreira, Rogério Reis;[<span itemprop="pagination">134-146</span>];[<meta content="2017" itemprop="datePublished"/>]
Eva Maia;On the Mother of All Automata: The Position Automaton.;Sabine Broda, Markus Holzer, Nelma Moreira, Rogério Reis;[<span itemprop="pagination">134-146</span>];[<meta content="2017" itemprop="datePublished"/>]
Nelma Moreira;On the Mother of All Automata: The Position Automaton.;Sabine Broda, Markus Holzer, Eva Maia, Rogério Reis;[<span itemprop="pagination">134-146</span>];[<meta content="2017" itemprop="datePublished"/>]
Rogério Reis;On the Mother of All Automata: The Position Automaton.;Sabine Broda, Markus Holzer, Eva Maia, Nelma Moreira;[<span itemprop="pagination">134-146</span>];[<meta content="2017" itemprop="datePublished"/>]
Olivier Carton;Two-Way Two-Tape Automata.;Léo Exibard, Olivier Serre;[<span itemprop="pagination">147-159</span>];[<meta content="2017" itemprop="datePublished"/>]
Léo Exibard;Two-Way Two-Tape Automata.;Olivier Carton, Olivier Serre;[<span itemprop="pagination">147-159</span>];[<meta content="2017" itemprop="datePublished"/>]
Olivier Serre;Two-Way Two-Tape Automata.;Olivier Carton, Léo Exibard;[<span itemprop="pagination">147-159</span>];[<meta content="2017" itemprop="datePublished"/>]
Jörg Endrullis;Undecidability and Finite Automata.;Jeffrey O. Shallit, Tim Smith;[<span itemprop="pagination">160-172</span>];[<meta content="2017" itemprop="datePublished"/>]
Jeffrey O. Shallit;Undecidability and Finite Automata.;Jörg Endrullis, Tim Smith;[<span itemprop="pagination">160-172</span>];[<meta content="2017" itemprop="datePublished"/>]
Tim Smith;Undecidability and Finite Automata.;Jörg Endrullis, Jeffrey O. Shallit;[<span itemprop="pagination">160-172</span>];[<meta content="2017" itemprop="datePublished"/>]
Zsolt Gazdag;On the Power of Permitting Semi-conditional Grammars.;Krisztián Tichler;[<span itemprop="pagination">173-184</span>];[<meta content="2017" itemprop="datePublished"/>]
Krisztián Tichler;On the Power of Permitting Semi-conditional Grammars.;Zsolt Gazdag;[<span itemprop="pagination">173-184</span>];[<meta content="2017" itemprop="datePublished"/>]
François Gonze;On the Interplay Between Babai and Černý's Conjectures.;Vladimir V. Gusev, Balázs Gerencsér, Raphaël M. Jungers, Mikhail V. Volkov;[<span itemprop="pagination">185-197</span>];[<meta content="2017" itemprop="datePublished"/>]
Vladimir V. Gusev;On the Interplay Between Babai and Černý's Conjectures.;François Gonze, Balázs Gerencsér, Raphaël M. Jungers, Mikhail V. Volkov;[<span itemprop="pagination">185-197</span>];[<meta content="2017" itemprop="datePublished"/>]
Balázs Gerencsér;On the Interplay Between Babai and Černý's Conjectures.;François Gonze, Vladimir V. Gusev, Raphaël M. Jungers, Mikhail V. Volkov;[<span itemprop="pagination">185-197</span>];[<meta content="2017" itemprop="datePublished"/>]
Raphaël M. Jungers;On the Interplay Between Babai and Černý's Conjectures.;François Gonze, Vladimir V. Gusev, Balázs Gerencsér, Mikhail V. Volkov;[<span itemprop="pagination">185-197</span>];[<meta content="2017" itemprop="datePublished"/>]
Mikhail V. Volkov;On the Interplay Between Babai and Černý's Conjectures.;François Gonze, Vladimir V. Gusev, Balázs Gerencsér, Raphaël M. Jungers;[<span itemprop="pagination">185-197</span>];[<meta content="2017" itemprop="datePublished"/>]
Anaël Grandjean;Differences Between 2D Neighborhoods According to Real Time Computation.;;[<span itemprop="pagination">198-209</span>];[<meta content="2017" itemprop="datePublished"/>]
