Name;URL
<title>Kanduru V. Krishna</title>;'https://dblp.uni-trier.de/pid/33/2837.html'
<title>Binxing Fang</title>;'https://dblp.uni-trier.de/pid/51/7703.html'
<title>François Barthélemy</title>;'https://dblp.uni-trier.de/pid/k/JuhaniKarhumaki.html'
<title>Tomás Masopust</title>;'https://dblp.uni-trier.de/pid/55/6739.html'
<title>Sebastian Jakobi</title>;'https://dblp.uni-trier.de/pid/67/55.html'
<title>Francine Blanchet-Sadri</title>;'https://dblp.uni-trier.de/pid/85/1477.html'
<title>Hsueh-I Lu</title>;'https://dblp.uni-trier.de/pid/20/1900.html'
<title>Geng-Dian Hwang</title>;'https://dblp.uni-trier.de/pid/223/4971.html'
<title>Qichao Wang</title>;'https://dblp.uni-trier.de/pid/91/2771.html'
<title>Hing-Fung Ting</title>;'https://dblp.uni-trier.de/pid/64/3333.html'
<title>Lynette van Zijl</title>;'https://dblp.uni-trier.de/pid/48/3591.html'
<title>Agata Savary</title>;'https://dblp.uni-trier.de/pid/292/8936.html'
<title>Andreas Reuß</title>;'https://dblp.uni-trier.de/pid/147/8587.html'
<title>Jesús Vilares</title>;'https://dblp.uni-trier.de/pid/02/6397.html'
<title>Sven De Felice</title>;'https://dblp.uni-trier.de/pid/86/8147.html'
<title>Petter Ericson</title>;'https://dblp.uni-trier.de/pid/09/1881.html'
<title>Andrew Winslow</title>;'https://dblp.uni-trier.de/pid/91/5747.html'
<title>Harald Hempel</title>;'https://dblp.uni-trier.de/pid/c/CSCalude.html'
<title>Vladimir A. Zakharov</title>;'https://dblp.uni-trier.de/pid/05/4417.html'
<title>David Cabrero Souto</title>;'https://dblp.uni-trier.de/pid/04/2667-1.html'
<title>Christoph Koch 0001</title>;'https://dblp.uni-trier.de/pid/s/MagnusSteinby.html'
<title>Michael Riley 0001</title>;'https://dblp.uni-trier.de/pid/40/1264.html'
<title>Chih-Hong Cheng</title>;'https://dblp.uni-trier.de/pid/47/3237.html'
<title>Daniel J. Rosenkrantz</title>;'https://dblp.uni-trier.de/pid/n/NadiaNedjah.html'
<title>Guowu Yang</title>;'https://dblp.uni-trier.de/pid/203/8161.html'
<title>Filippo Mignosi</title>;'https://dblp.uni-trier.de/pid/321/6311.html'
<title>Anne Brüggemann-Klein</title>;'https://dblp.uni-trier.de/pid/v/MVilaresF.html'
<title>Andrew Ryzhikov</title>;'https://dblp.uni-trier.de/pid/03/5448.html'
<title>Holger Bock Axelsen</title>;'https://dblp.uni-trier.de/pid/01/4421.html'
<title>Miklós Bartha</title>;'https://dblp.uni-trier.de/pid/c/KarelCulikII.html'
<title>Clemens Marschner</title>;'https://dblp.uni-trier.de/pid/h/HaraldHempel.html'
<title>James Jerson Ortiz</title>;'https://dblp.uni-trier.de/pid/265/6260.html'
<title>Maria Madonia</title>;'https://dblp.uni-trier.de/pid/59/3949.html'
<title>Brigitte Le Pévédic</title>;'https://dblp.uni-trier.de/pid/31/4878.html'
<title>Rupak Majumdar</title>;'https://dblp.uni-trier.de/pid/02/4801.html'
<title>Abolfazl Fatholahzadeh</title>;'https://dblp.uni-trier.de/pid/43/6032.html'
<title>Costas S. Iliopoulos</title>;'https://dblp.uni-trier.de/pid/133/6735.html'
<title>Thierry Poibeau</title>;'https://dblp.uni-trier.de/pid/79/2132.html'
<title>J. Howard Johnson</title>;'https://dblp.uni-trier.de/pid/45/4788.html'
<title>Vesna Pajic</title>;'https://dblp.uni-trier.de/pid/225/6395.html'
<title>Akihiko Tozawa</title>;'https://dblp.uni-trier.de/pid/223/4929.html'
<title>Gonzalo Navarro</title>;'https://dblp.uni-trier.de/pid/63/548.html'
<title>Mans Hulden</title>;'https://dblp.uni-trier.de/pid/77/6082.html'
<title>Abejide Ade-Ibijola</title>;'https://dblp.uni-trier.de/pid/22/5953.html'
<title>Fevzi Belli</title>;'https://dblp.uni-trier.de/pid/r/BSundarRajan.html'
<title>Heiko Körner</title>;'https://dblp.uni-trier.de/pid/228/6835.html'
<title>Riccardo Catalano</title>;'https://dblp.uni-trier.de/pid/03/828.html'
<title>Ömer Egecioglu</title>;'https://dblp.uni-trier.de/pid/89/931.html'
<title>Sylvie Davies</title>;'https://dblp.uni-trier.de/pid/165/8675.html'
